Bryan Cranston
Rita Moreno
Julia Louis-Dreyfus
Whoopi Goldberg
Peter Dinklage
John Legend
Andrew Lloyd Webber
Ed Asner
Tim Rice
Zendaya
Elton John
Betty White
Audrey Hepburn
Mel Brooks
Mike Nichols
Rita Moreno
Jennifer Hudson
Alan Menken
Scott Rudin
Robert Lopez
Jon Stewart
Julia Louis-Dreyfus
Bryan Cranston
Peter Dinklage
Betty White
John Legend
Whoopi Goldberg
Zendaya
Mel Brooks
Alan Menken
Scott Rudin
Ed Asner
Tim Rice
Jennifer Hudson
Andrew Lloyd Webber
Rita Moreno
Julia Louis-Dreyfus
Bryan Cranston
Jon Stewart
Betty White
Peter Dinklage
Zendaya
Mel Brooks
Audrey Hepburn
Mike Nichols
Scott Rudin
Robert Lopez
Alan Menken
Jennifer Hudson
Ed Asner
