Taylor Swift
Whoopi Goldberg
John Legend
Stevie Wonder
Andrew Lloyd Webber
Tim Rice
Beyonce
Adele
Elton John
Paul McCartney
Audrey Hepburn
Mel Brooks
Mike Nichols
Rita Moreno
Jennifer Hudson
Alan Menken
Scott Rudin
Robert Lopez
Billie Eilish
Aretha Franklin
Taylor Swift
Beyonce
Stevie Wonder
Adele
Elton John
Paul McCartney
John Legend
Whoopi Goldberg
Andrew Lloyd Webber
Tim Rice
Rita Moreno
Jennifer Hudson
Alan Menken
Scott Rudin
Robert Lopez
Mel Brooks
Aretha Franklin
Billie Eilish
Taylor Swift
Beyonce
Adele
Stevie Wonder
Elton John
Paul McCartney
Audrey Hepburn
Mike Nichols
Rita Moreno
Jennifer Hudson
Alan Menken
Robert Lopez
