Tom Hanks
Whoopi Goldberg
Leonardo DiCaprio
John Legend
Meryl Streep
Andrew Lloyd Webber
Denzel Washington
Tim Rice
Natalie Portman
Elton John
Anthony Hopkins
Audrey Hepburn
Mel Brooks
Mike Nichols
Rita Moreno
Jennifer Hudson
Alan Menken
Scott Rudin
Robert Lopez
Frances McDormand
Tom Hanks
Meryl Streep
Anthony Hopkins
Denzel Washington
Frances McDormand
Natalie Portman
Leonardo DiCaprio
John Legend
Whoopi Goldberg
Andrew Lloyd Webber
Tim Rice
Elton John
Rita Moreno
Jennifer Hudson
Alan Menken
Scott Rudin
Robert Lopez
Mel Brooks
Audrey Hepburn
Mike Nichols
Tom Hanks
Meryl Streep
Anthony Hopkins
Denzel Washington
Frances McDormand
Natalie Portman
Leonardo DiCaprio
John Legend
Whoopi Goldberg
Alan Menken
