Lin-Manuel Miranda
Whoopi Goldberg
Patti LuPone
John Legend
Nathan Lane
Andrew Lloyd Webber
Angela Lansbury
Tim Rice
Hugh Jackman
Elton John
Idina Menzel
Audrey Hepburn
Mel Brooks
Mike Nichols
Rita Moreno
Jennifer Hudson
Alan Menken
Scott Rudin
Robert Lopez
James Earl Jones
Lin-Manuel Miranda
Nathan Lane
Patti LuPone
Angela Lansbury
Hugh Jackman
Idina Menzel
James Earl Jones
John Legend
Whoopi Goldberg
Andrew Lloyd Webber
Tim Rice
Elton John
Rita Moreno
Jennifer Hudson
Alan Menken
Scott Rudin
Robert Lopez
Mel Brooks
Audrey Hepburn
Mike Nichols
Lin-Manuel Miranda
Nathan Lane
Patti LuPone
Angela Lansbury
Hugh Jackman
Idina Menzel
James Earl Jones
Whoopi Goldberg
John Legend
Alan Menken
