nombre,ataque,defensa
Slushy,0,0
Ghost Gardna,0,1900
Lightray Sorcerer,2300,2000
The Immortal of Thunder,1500,1300
Geargiattacker,1900,100
Predaplant Banksiogre,2000,100
Hand of the Six Samurai,1600,1000
Green Gadget,1400,600
Dark Gray,800,900
Elemental HERO Darkbright,2000,1000
Ancient Gear Howitzer,1000,1800
Heavy Freight Train Derricrane,2800,2000
Mecha Phantom Beast Blackfalcon,1200,1700
ABC-Dragon Buster,3000,2800
Lancer Dragonute,1500,1800
Melomelody the Brass Djinn,1400,1600
Mystery Hand,500,500
Majespecter Raccoon - Bunbuku,1200,900
Number C73: Abyss Supra Splash,3000,2000
Powered Inzektron,2500,1600
Tiger Dragon,2400,1800
Volcanic Counter,300,1300
Jurrac Stauriko,500,400
D.D. Survivor,1800,200
Dverg of the Nordic Alfar,100,1000
Dragunity Dux,1500,1000
Juragedo,1700,1300
Digital Bug Cocoondenser,0,2000
Rescue Ferret,300,100
Laval Lakeside Lady,200,200
Vylon Epsilon,2800,1200
Ally of Justice Rudra,1900,1200
Autorokket Dragon,1600,1000
Queen of Fate - Eternia,2400,2000
Tellarknight Ptolemaeus,550,2600
Sunlight Unicorn,1800,1000
Magician's Valkyria,1600,1800
Castle Gate,0,2400
Predaplant Chimerafflesia,2500,2000
Morphtronic Lantron,200,200
Justice of Prophecy,1600,800
Metalfoes Volflame,2400,2000
Mavelus,1300,900
Rare Metal Dragon,2400,1200
Defect Compiler,1000,1000
Vampire Retainer,1200,0
Right Leg of the Forbidden One,200,300
Castle of Dark Illusions,920,1930
Deskbot 009,500,500
Number 52: Diamond Crab King,0,3000
Cyber Valley,0,0
Dark Magician of Chaos,2800,2600
Vulcan the Divine,2000,1600
Lord Gaia the Fierce Knight,2300,2100
Fluffal Patchwork,0,0
Evilswarm Exciton Knight,1900,0
Cyber Phoenix,1200,1600
Superheavy Samurai Soulhorns,0,300
Cyberse Gadget,1400,300
Power Invader,2200,0
Dystopia the Despondent,5000,5000
Gem-Knight Alexandrite,1800,1200
Gladiator Beast Spartacus,2200,1600
Giganticastle,2900,2800
Blue-Eyes Chaos MAX Dragon,4000,0
Doomkaiser Dragon,2400,1500
Dark Magician the Dragon Knight,3000,2500
Baby Raccoon Ponpoko,800,0
Gokipon,800,800
The Creator,2300,3000
Orbital Hydralander,3000,1500
Stoic of Prophecy,300,200
Steelswarm Roach,1900,0
Doomkaiser Dragon,2400,1500
Bracchio-raidus,2200,2000
Red-Eyes Baby Dragon,1200,700
Flower Cardian Lightflare,5000,0
Flower Cardian Boardefly,2000,2000
Alien Dog,1500,1000
Bird of Roses,1800,1500
Apoqliphort Towers,3000,2600
Lancer Lindwurm,1800,1200
Dark-Eyes Illusionist,0,1400
Salvage Warrior,1900,1600
Ghost Ship,1900,1000
Evilswarm Ouroboros,2750,1950
Sand Moth,1000,2000
Kozmo Dark Planet,4000,4000
Number C43: High Manipulator of Chaos,0,0
X-Saber Uruz,1600,1000
Sea Kamen,1100,1300
Predaplant Cordyceps,0,0
Crystron Quan,500,500
Brotherhood of the Fire Fist - Dragon,1800,400
Obnoxious Celtic Guard,1400,1200
Stardust Divinity,3000,3000
Peacock,1700,1500
Falchion��,1200,800
Gusto Falco,600,1400
Inaba White Rabbit,700,500
