genero,plataforma,idioma,dia_lanzamiento,anno_lanzamiento,duracion_seg,tempo_bpm,energia,valencia,bailabilidad,instrumentalidad,loudness_db,popularidad_artista,num_colaboraciones,semanas_en_charts,reproducciones_millones,gastos_produccion_usd,sello_discografico,streams_categoria
Hip-Hop,Apple Music,Ingles,Martes,2012,257,129,0.477,0.623,0.802,0.058,<null>,82,3,31,1.27,7657.0,Universal,1
Cumbia,YouTube Music,Ingles,Martes,2014,162,145,0.336,0.177,0.913,0.181,1.8,32,0,30,4.37,256743.0,Universal,0
Metal,Apple Music,Coreano,Domingo,2016,176,154,0.558,0.64,0.574,0.428,-14.5,54,1,7,4.81,80209.0,Sony,0
Reggaeton,Spotify,Espanol,Jueves,2010,235,132,0.61,0.623,0.473,0.204,-4.4,67,0,26,21.76,118906.0,Sony,2
Pop,Spotify,Ingles,Sabado,2023,137,143,0.809,0.345,0.325,0.012,-8.4,33,0,17,0.99,26843.0,Sony,0
Pop,Spotify,Ingles,Lunes,2014,170,100,0.317,0.467,0.302,0.402,-12.4,79,0,6,3.42,325706.0,Universal,0
Pop,Spotify,Portugues,Sabado,2024,241,134,0.613,0.928,0.522,0.33,-6.1,2,1,21,2.44,391655.0,Warner,0
R&B,Apple Music,Ingles,Martes,2024,148,106,0.531,0.649,0.777,0.023,-6.2,48,0,5,1.82,415647.0,Independiente,0
Electronica,Apple Music,Ingles,Lunes,2012,179,141,0.94,0.505,0.84,0.392,-6.5,11,2,26,5.48,308954.0,Warner,0
Jazz,Spotify,Espanol,Viernes,2020,234,126,0.638,0.361,0.777,0.36,-6.0,93,0,8,9.39,94771.0,Universal,2
Pop,Spotify,Ingles,Lunes,2012,165,123,0.622,0.136,0.321,0.277,-3.8,47,1,21,11.2,140685.0,Universal,2
Cumbia,Spotify,Frances,Viernes,2022,244,104,0.66,0.634,0.319,0.071,-5.1,42,0,49,2.06,272587.0,Warner,0
R&B,Deezer,Coreano,Jueves,2019,221,105,0.783,0.629,0.259,0.126,-13.8,40,0,18,7.79,493228.0,Universal,0
Rock,Apple Music,Ingles,Viernes,2021,199,87,0.88,0.773,0.334,0.023,-10.9,41,0,45,0.75,92719.0,Universal,0
Pop,Tidal,Ingles,Viernes,2023,134,105,0.293,0.339,0.085,0.111,-6.7,39,0,26,11.95,236249.0,Independiente,0
Pop,YouTube Music,Portugues,Miercoles,2021,210,102,0.509,0.739,0.838,0.057,-5.7,69,0,24,5.06,415816.0,Warner,2
