id_remate,id_lote,usuario,precio_final,fecha
1,6,fgutierrez,15100,2024-03-11 18:28:00
2,23,vmorales,12000,2024-03-11 19:07:00
3,46,icastro,16100,2024-03-11 19:46:00
4,42,ctapia,13600,2024-03-11 20:26:00
5,58,eflores,13800,2024-03-11 20:31:00
6,46,mespinoza,14700,2024-03-11 20:56:00
7,56,vsoto,19300,2024-03-11 21:15:00
8,45,vmorales,5400,2024-03-11 21:40:00
9,50,garaya,4900,2024-03-11 21:50:00
10,17,irodriguez,15400,2024-03-11 22:15:00
11,32,llopez,23300,2024-03-11 22:31:00
12,44,mcontreras,13100,2024-03-11 22:41:00
13,12,jhernandez,17000,2024-03-11 23:20:00
14,57,garaya,23900,2024-03-11 23:26:00
15,2,irodriguez,15900,2024-03-11 23:37:00
16,41,irodriguez,22000,2024-03-12 00:00:00
17,42,irodriguez,15400,2024-03-12 00:14:00
18,16,icastro,21900,2024-03-12 00:38:00
19,36,rvalenzuela,9300,2024-03-12 00:50:00
20,46,rvalenzuela,16000,2024-03-12 01:05:00
21,11,acastillo,19200,2024-03-12 01:20:00
22,2,llopez,11500,2024-03-12 02:00:00
23,40,jhernandez,16600,2024-03-12 02:25:00
24,44,tperez,13500,2024-03-12 02:34:00
25,60,ctapia,5600,2024-03-12 02:56:00
26,54,vmorales,17800,2024-03-12 03:17:00
27,24,fgutierrez,2800,2024-03-12 03:22:00
28,16,ddiaz,20600,2024-03-12 03:49:00
29,37,vsoto,8900,2024-03-12 04:14:00
30,5,icastro,23900,2024-03-12 04:24:00
31,10,pvargas,21600,2024-03-12 04:38:00
32,4,vsoto,8200,2024-03-12 05:12:00
33,14,acastillo,14300,2024-03-12 05:33:00
34,9,breyes,5700,2024-03-12 06:03:00
35,51,garaya,20300,2024-03-12 06:13:00
36,3,vsoto,13900,2024-03-12 06:43:00
37,60,ddiaz,3900,2024-03-12 07:10:00
38,1,jsilva,16400,2024-03-12 07:22:00
39,28,fgutierrez,15200,2024-03-12 07:58:00
40,55,eflores,22900,2024-03-12 08:28:00
41,42,jsilva,11400,2024-03-12 08:49:00
42,47,ftorres,7500,2024-03-12 09:25:00
43,33,vsoto,2600,2024-03-12 09:47:00
44,56,rvalenzuela,23300,2024-03-12 09:59:00
45,38,tperez,9900,2024-03-12 10:36:00
46,9,vmorales,9500,2024-03-12 10:49:00
47,22,eflores,17200,2024-03-12 10:51:00
48,24,rvalenzuela,3900,2024-03-12 11:26:00
49,35,vsoto,11400,2024-03-12 11:47:00
50,3,irodriguez,14600,2024-03-12 11:53:00
51,33,rvalenzuela,4700,2024-03-12 12:20:00
52,31,rvalenzuela,22200,2024-03-12 12:50:00
53,8,breyes,21500,2024-03-12 13:24:00
54,32,fgutierrez,24000,2024-03-12 13:46:00
55,43,eflores,2200,2024-03-12 14:05:00
