1,42:2;56:2
2,6:1;61:4;94:4
3,31:1;58:1;64:4
4,38:2
5,62:3;86:2
6,4:2;59:4;60:2;75:3;96:4
7,10:3;50:1;81:3;89:4
8,11:3;27:1;70:3;74:1;88:1
9,6:3;47:2;80:1
10,18:1;31:4;43:2;70:2
11,55:3;65:1;88:1
12,63:1;65:4;68:3
13,9:4;25:1;87:1;89:4
14,14:2
15,19:2;20:1;64:3
16,17:1;45:3;54:2;57:1;61:1
17,43:3;44:4;53:4;75:4
18,22:2;34:4;40:3
19,46:3
20,21:3;69:2;92:2
21,6:2;15:4;20:3;21:3;31:2;41:2
22,19:3;41:4;45:2;86:3
23,64:2
24,1:3;95:3
25,19:4;73:3;86:1;94:4
26,15:3;71:1
27,12:3;46:1;58:2
28,3:1;26:4;36:1;99:4
29,66:1;78:3
30,48:3;50:1;55:3
31,12:2;58:4;72:4
32,55:4;94:2
33,19:3;27:1;39:4;61:1
34,23:4;35:2;54:2
35,63:1;71:3
36,29:1;60:1;72:2;95:3
37,16:4;37:2;61:4;84:2;86:1
38,9:3;77:4
39,61:1;81:3;88:1;89:3
40,19:4;41:2
41,35:3
42,7:1;38:2;68:2;82:1
43,39:3;41:3;42:1;88:3
44,67:3
45,14:2;21:2;44:2
46,68:1;69:4;89:4;92:1
47,62:3
48,18:3;57:2;67:3;77:1
49,17:2;89:2
50,17:1
51,3:4;10:4;100:1
52,85:1
53,6:3;9:1
54,27:2;76:2
55,12:3;19:3;96:3
56,31:1;65:1;73:1;79:2
57,22:1;69:1;97:2
58,24:1;47:2;57:3;76:4;90:4
59,15:3;53:1
60,18:3;64:3;98:1
61,15:3;50:4
62,29:3;53:4;57:2;71:1;88:4
63,2:1;63:4;87:4
64,11:1;16:2;19:1;51:3;52:2;89:3
65,16:4;30:3;55:3
66,52:4;61:3;78:2;86:4
67,63:4
68,4:1;13:1
69,23:3;49:2;78:3
70,10:4;85:4;97:2;98:3
71,34:1;44:1;65:4;70:1
72,49:1;57:1;59:2
73,18:3;22:4;56:4;63:1;91:4
74,21:1;61:4;65:3;70:4;72:4;74:3
75,4:1;76:2
76,4:3;75:4;81:1;98:4
77,8:2;45:2;85:2
78,9:3;11:2;15:1;40:3;89:1
79,35:1;54:4;66:1;73:3
80,13:1;42:2;63:3;74:4
81,22:2;39:4;47:1;56:2;79:3
82,52:2;74:1
83,9:4;35:4;44:2;76:3
84,39:3;56:2;65:4
85,59:2;66:1;86:2;98:4
86,35:4;60:1;69:2;82:3
87,20:3
88,9:4;27:3;82:3
89,31:4;77:2;88:1
90,32:3
91,5:2;55:2;56:3;83:2
92,71:2;85:1
93,8:3;11:1;41:4
94,12:1;18:1;31:3;51:4;93:1
95,41:3;99:4
96,14:2;19:2;28:3;55:4
97,8:1;48:3;63:4;69:4
98,19:3;47:3;61:1
99,7:2;85:3;89:4;95:3
100,16:4;31:1;57:4;69:3;88:3
101,27:2
102,5:3;53:1;83:4;99:4
103,13:3;21:1;55:3;92:4
104,4:1;42:2;59:4;89:2;95:1;98:4
105,11:1;41:2;74:2
106,17:4;41:4;53:2;77:3;88:2;98:3
107,54:3
108,29:1;74:1
109,12:2;26:1;30:4;34:4;60:3;81:2
110,73:1
111,56:4;59:1;87:2;99:2
112,64:4;96:2
113,28:2;37:4;94:2
114,38:3
115,32:4;48:1;75:1
116,51:2;89:4
117,10:1;13:1;33:3;72:2;77:4
118,1:3;6:4;77:3;91:4;96:3
119,23:3;75:2
120,12:4;17:2;41:3;60:1
121,64:3
122,34:3;37:3;79:4;98:2
123,20:4;72:1;85:2;98:2
124,5:4
125,15:4;56:1;60:4
126,15:2;59:1;63:3;64:1;93:2
127,96:3
128,1:2;28:4;68:1;74:2;75:4;99:1
129,16:4;88:3
130,4:4;11:4;20:4
131,1:4;6:3;43:2;84:2;85:1
132,8:4;10:1;71:4;96:3
133,12:1
134,100:4
135,16:3;20:2;39:3;56:1;63:3
136,50:3;58:4;61:1
137,24:1;55:1;56:3;81:4
138,20:1;64:3;88:4;92:4
139,17:3;20:2
140,7:1;10:1;71:4;73:4
141,33:3;73:3;93:1
142,85:4;95:2
143,11:4
144,59:4;76:3;93:3;97:2
145,96:3
146,1:4;3:1;69:1
147,52:4;59:3;89:3
148,12:1;17:2;18:1;39:1;51:2;87:1
149,19:4;31:2;84:1
150,55:1;61:1
151,57:4;90:4
152,26:4;32:1;38:3
153,56:4;92:4
154,5:4;38:4;52:2;63:1;71:1;94:4
155,9:1;35:4;54:3;61:4;83:4
156,93:2
157,29:3;30:4;65:2
158,50:3;54:4;84:2;87:2;95:3
159,17:2;23:2;62:4;86:1
160,27:1;31:1;72:3
161,5:1;21:3;23:4;65:1
162,29:4;72:3
163,72:3;99:2
