1,Bulbasaur,5;24,001
2,Ivysaur,1;2;14;19,002
3,Venusaur,1;7;14;18;21;23,003
4,Charmander,6;14;23,004
5,Charmeleon,3;4;13,005
6,Charizard,15;18;24,006
7,Squirtle,10;12;20;21,007
8,Wartortle,3;4;8;10,008
9,Blastoise,7;12;22,009
10,Caterpie,6;18;20;21,010
11,Metapod,8;11;18;22;23,011
12,Butterfree,3;9;13,012
13,Weedle,7;13;15;16;21,013
14,Kakuna,9;18;19;24,014
15,Beedrill,5;16;17,015
16,Pidgey,6;21,016
17,Pidgeotto,1;9;15;17;18,017
18,Pidgeot,4;10;11;14;21,018
19,Rattata,4;6;9;10;17;23,019
20,Raticate,1;17;18,020
21,Spearow,2;3;8;19,021
22,Fearow,5;16;18;22,022
23,Ekans,7;10;18;23;24,023
24,Arbok,3;4;8;11;15,024
25,Pikachu,1;3;8;23,025
26,Raichu,3;8;17,026
27,Sandshrew,8;16;19;24,027
28,Sandslash,14;22,028
29,Nidoran♀,2;4;21;22,029
30,Nidorina,7;18,030
31,Nidoqueen,3;8;15;18,031
32,Nidoran♂,3;6;8;14,032
33,Nidorino,1;6;13,033
34,Nidoking,14;18;23;24,034
35,Clefairy,2;19;24,035
36,Clefable,2;6;16;17,036
37,Vulpix,4;8;13;22,037
38,Ninetales,14;17;19;22,038
39,Jigglypuff,5;8;9;10;11;13,039
40,Wigglytuff,15;20,040
41,Zubat,3;5;8;10;12,041
42,Golbat,1;10;17;18;20;21,042
43,Oddish,4;18;24,043
44,Gloom,7;11;22;23,044
45,Vileplume,3;14;21,045
46,Paras,6;9;15;24,046
47,Parasect,5;23,047
48,Venonat,2;5;10;14,048
49,Venomoth,7;8;22,049
50,Diglett,5;6;8;14;24,050
51,Dugtrio,8;9;22;24,051
52,Meowth,2;8;16,052
53,Persian,1;8;10;22,053
54,Psyduck,9;12;21,054
55,Golduck,4;6;9,055
56,Mankey,11;14;20;24,056
57,Primeape,2;14;23,057
58,Growlithe,3;7;12;14;22;24,058
59,Arcanine,10;17;22;24,059
60,Poliwag,5;7;13;14;22,060
61,Poliwhirl,1;7;10;13;18,061
62,Poliwrath,7;15;16;17;22,062
63,Abra,3;8;10;11;20;21,063
64,Kadabra,2;8,064
65,Alakazam,14;19;21,065
66,Machop,5;8;13;21,066
67,Machoke,6;8;23,067
68,Machamp,5;15;22,068
69,Bellsprout,14;15;17;18;24,069
70,Weepinbell,8;9;17;21,070
71,Victreebel,8;10;23,071
72,Tentacool,5;8;13;23,072
73,Tentacruel,11;14;18,073
74,Geodude,1;13;19;23,074
75,Graveler,8;18;20;24,075
76,Golem,11;13;22,076
77,Ponyta,1;18;20,077
78,Rapidash,14;21,078
79,Slowpoke,9;13,079
80,Slowbro,3;9;14;16,080
81,Magnemite,3;8;21,081
82,Magneton,5;20,082
83,Farfetch'd,7;15;19;23,083
84,Doduo,4;6;10;22;23;24,084
85,Dodrio,3;7;13;19;23,085
86,Seel,2;4;19;20;22,086
87,Dewgong,11;17;21,087
88,Grimer,12;14;21,088
89,Muk,9;17;20;21,089
90,Shellder,3;8;9;11;15;24,090
91,Cloyster,1;11;13;16;22;24,091
92,Gastly,9;11;20;23,092
93,Haunter,8;24,093
94,Gengar,15;16;21;23,094
95,Onix,8;10;23,095
96,Drowzee,11;12;14;18;24,096
97,Hypno,7;24,097
98,Krabby,7;9;16;24,098
99,Kingler,7;8;10,099
100,Voltorb,2;5;9;10;18;22,100
101,Electrode,1;10;19,101
102,Exeggcute,9;16,102
103,Exeggutor,3;19;21;22,103
104,Cubone,3;4;8;14;18,104
105,Marowak,10;14;15;19;20,105
106,Hitmonlee,7;21,106
107,Hitmonchan,3;18,107
108,Lickitung,2;8;10;16;20,108
109,Koffing,8;9;22,109
110,Weezing,4;8;18,110
111,Rhyhorn,2;6,111
112,Rhydon,4;10;13;15;23,112
113,Chansey,2;14;20,113
114,Tangela,19;22,114
115,Kangaskhan,2;6;16;17;21,115
116,Horsea,3;12;14;16;21,116
117,Seadra,14;16;23,117
118,Goldeen,3;9;11;15,118
119,Seaking,14;15;18;22,119
120,Staryu,2;7;15;16;21,120
121,Starmie,1;4;16;23,121
122,Mr. Mime,1;14;18,122
123,Scyther,4;5;21,123
124,Jynx,8;9;14;15;16;22,124
125,Electabuzz,3;5;9;11;14;24,125
126,Magmar,5;15;16;19;22,126
127,Pinsir,7;8;11;15;23,127
128,Tauros,11;16;24,128
129,Magikarp,2;5;16;17;19;24,129
130,Gyarados,1;15;17,130
131,Lapras,9;16,131
132,Ditto,11;13;18;22,132
133,Eevee,2;3;8;20;21,133
134,Vaporeon,4;21;23,134
135,Jolteon,1;2;10;11;12,135
136,Flareon,3;6;19;20;22,136
137,Porygon,5;8;9;15;21,137
138,Omanyte,3;6;18;22,138
139,Omastar,7;9;10;15;23,139
140,Kabuto,10;12;19,140
141,Kabutops,1;19;22;24,141
142,Aerodactyl,8;10;12;20;21,142
143,Snorlax,2;4;5;21;22;24,143
144,Articuno,3;5;10;11;24,144
145,Zapdos,6;9;10;16;17,145
146,Moltres,5;8;22,146
147,Dratini,1;3;9;13;18,147
148,Dragonair,4;9;12;13;19;22,148
149,Dragonite,3;8;15;20;21,149
150,Mewtwo,2;10,150
151,Mew,12;13;15;22,151
152,Chikorita,4;5;14;16;21;23,152
153,Bayleef,8;12;15,153
154,Meganium,2;4;7;9;12;13,154
155,Cyndaquil,1;2;5;8;11;20,155
156,Quilava,7;8;11;19,156
157,Typhlosion,5;6;9;18,157
158,Totodile,1;12,158
159,Croconaw,2;9,159
160,Feraligatr,3;15;16;24,160
161,Sentret,2;8;20;22;24,161
162,Furret,13;14;22,162
163,Hoothoot,3;11;20,163
164,Noctowl,11;18;19;21;23,164
165,Ledyba,4;14;20;21;23,165
166,Ledian,8;14;15,166
167,Spinarak,4;9;11;14;22,167
168,Ariados,3;4;14,168
169,Crobat,11;18;19;22,169
170,Chinchou,2;10;12;20;24,170
171,Lanturn,16;22,171
172,Pichu,4;8;9;12;19,172
173,Cleffa,1;9;18;20;21;22,173
174,Igglybuff,1;5;6;11;12,174
175,Togepi,1;3;7;13;14;17,175
176,Togetic,2;3;11;19;20,176
177,Natu,3;9;15;22,177
178,Xatu,4;7;12;17,178
179,Mareep,2;8;10;16;17;22,179
180,Flaaffy,5;7;9,180
181,Ampharos,5;6;13;14;18,181
182,Bellossom,2;3;13;14;24,182
183,Marill,13;14;19,183
184,Azumarill,6;11;20,184
185,Sudowoodo,4;8;14,185
186,Politoed,10;11;24,186
187,Hoppip,17;21,187
188,Skiploom,12;21;24,188
189,Jumpluff,6;7;20,189
190,Aipom,6;15;16;21,190
191,Sunkern,5;11;20;21;22;24,191
192,Sunflora,2;9;12;17;19,192
193,Yanma,2;10;12,193
194,Wooper,13;15;17;20,194
195,Quagsire,7;19;21,195
196,Espeon,4;15,196
197,Umbreon,2;8;15;23,197
198,Murkrow,10;12;13,198
199,Slowking,3;4;11;21,199
200,Misdreavus,3;5;11;19;20;23,200
201,Unown,3;5;10;20;23,201
202,Wobbuffet,17;22;23;24,202
203,Girafarig,1;6;7;10;12,203
204,Pineco,3;5,204
205,Forretress,2;5;11;17;20;24,205
