1,Bulbasaur,2;3,001
2,Ivysaur,1;2;4,002
3,Venusaur,11;12,003
4,Charmander,3;6;7,004
5,Charmeleon,2;7;12,005
6,Charizard,8;9;12,006
7,Squirtle,6;10;11,007
8,Wartortle,2;4;12,008
9,Blastoise,4;6;12,009
10,Caterpie,4;9,010
11,Metapod,1;6;11,011
12,Butterfree,2;4;5;6,012
13,Weedle,3;4;5;12,013
14,Kakuna,3;4;6;9,014
15,Beedrill,3;11,015
16,Pidgey,1;5;9;12,016
17,Pidgeotto,2;3;5;7,017
18,Pidgeot,2;5;9,018
19,Rattata,1;9;12,019
20,Raticate,1;2;4;12,020
21,Spearow,3;11,021
22,Fearow,4;5;9,022
23,Ekans,2;4;11;12,023
24,Arbok,1;2,024
25,Pikachu,2;4;9,025
26,Raichu,4;7;8,026
27,Sandshrew,1;7;8;12,027
28,Sandslash,2;4;10;11,028
29,Nidoran♀,2;4;8;9,029
30,Nidorina,3;4,030
31,Nidoqueen,1;3;7,031
32,Nidoran♂,3;7;8;9,032
33,Nidorino,6;12,033
34,Nidoking,1;2;9,034
35,Clefairy,2;7,035
36,Clefable,10;11;12,036
37,Vulpix,3;5;7,037
38,Ninetales,8;10,038
39,Jigglypuff,2;4;6,039
40,Wigglytuff,5;9;11,040
41,Zubat,9;12,041
42,Golbat,4;5;11,042
43,Oddish,7;11,043
44,Gloom,3;8;9,044
45,Vileplume,1;9,045
46,Paras,1;5;6,046
47,Parasect,2;11,047
48,Venonat,3;4;11,048
49,Venomoth,3;4;5;11,049
50,Diglett,4;6;8,050
51,Dugtrio,1;11,051
52,Meowth,5;6;9,052
53,Persian,2;3;5,053
54,Psyduck,6;7;9;12,054
55,Golduck,1;7;12,055
56,Mankey,2;6;7,056
57,Primeape,6;7;11;12,057
58,Growlithe,3;5;10;11,058
59,Arcanine,4;6;7;10,059
60,Poliwag,2;3;12,060
61,Poliwhirl,4;5;11,061
62,Poliwrath,1;4,062
63,Abra,7;10;11,063
64,Kadabra,1;3;4;7,064
65,Alakazam,9;12,065
66,Machop,3;8;9,066
67,Machoke,3;8;9;11,067
68,Machamp,4;5;8;11,068
69,Bellsprout,6;9;12,069
70,Weepinbell,3;4;12,070
71,Victreebel,1;4;7;12,071
72,Tentacool,1;6;8,072
73,Tentacruel,4;5;8,073
74,Geodude,3;8;11;12,074
75,Graveler,7;11,075
76,Golem,5;7,076
77,Ponyta,2;5;7;12,077
78,Rapidash,2;4;11,078
79,Slowpoke,3;10,079
80,Slowbro,5;8,080
81,Magnemite,2;5,081
82,Magneton,2;4;11;12,082
83,Farfetch'd,1;6;10,083
84,Doduo,2;7;8,084
85,Dodrio,3;7;9,085
86,Seel,5;6;7;10,086
87,Dewgong,4;8;12,087
88,Grimer,3;6;8,088
89,Muk,5;9;10;12,089
90,Shellder,7;12,090
91,Cloyster,1;2;5;8,091
92,Gastly,6;10;11,092
93,Haunter,5;6;8;10,093
94,Gengar,2;3;9,094
95,Onix,5;9;10;12,095
96,Drowzee,3;5;6,096
97,Hypno,1;9;12,097
98,Krabby,1;5;10,098
99,Kingler,5;8,099
100,Voltorb,1;2;3;10,100
101,Electrode,2;4;9,101
102,Exeggcute,5;8;12,102
103,Exeggutor,4;11,103
104,Cubone,3;4,104
105,Marowak,1;4;5;12,105
106,Hitmonlee,5;11,106
107,Hitmonchan,3;4;9,107
108,Lickitung,5;10,108
109,Koffing,5;7;8,109
110,Weezing,1;7;10,110
111,Rhyhorn,10;11,111
112,Rhydon,3;8;9,112
113,Chansey,2;6;7;8,113
114,Tangela,5;7;8,114
115,Kangaskhan,2;5;6,115
116,Horsea,1;4;7,116
117,Seadra,4;5;9,117
118,Goldeen,1;2;4;10,118
119,Seaking,2;4;8,119
120,Staryu,5;9;12,120
121,Starmie,3;8;9,121
122,Mr. Mime,5;7,122
123,Scyther,5;10;12,123
124,Jynx,6;9;10;12,124
125,Electabuzz,7;10,125
126,Magmar,6;7;8,126
127,Pinsir,1;3;9,127
128,Tauros,1;8;9,128
129,Magikarp,5;8,129
130,Gyarados,7;9;11,130
131,Lapras,2;4;10,131
132,Ditto,2;11;12,132
133,Eevee,1;6,133
134,Vaporeon,7;9,134
135,Jolteon,7;10,135
136,Flareon,8;11,136
137,Porygon,5;9;11,137
138,Omanyte,5;7;8;11,138
139,Omastar,4;7;10,139
140,Kabuto,5;7;11,140
141,Kabutops,4;5;10,141
142,Aerodactyl,1;2;11,142
143,Snorlax,2;5;6,143
144,Articuno,3;5;8;11,144
145,Zapdos,3;4;7,145
146,Moltres,2;8;9,146
147,Dratini,2;4;6;11,147
148,Dragonair,2;8;11,148
149,Dragonite,1;5,149
150,Mewtwo,6;8;9,150
151,Mew,2;8;11,151
