1,Bulbasaur,2,001
2,Ivysaur,5,002
3,Venusaur,2,003
4,Charmander,2;4,004
5,Charmeleon,6,005
6,Charizard,3,006
7,Squirtle,3,007
8,Wartortle,6,008
9,Blastoise,1;5,009
10,Caterpie,2;5,010
11,Metapod,1;2,011
12,Butterfree,3;6,012
13,Weedle,6,013
14,Kakuna,5,014
15,Beedrill,4,015
16,Pidgey,6,016
17,Pidgeotto,2,017
18,Pidgeot,1;3,018
19,Rattata,2;4,019
20,Raticate,2;3,020
21,Spearow,5;6,021
22,Fearow,2;6,022
23,Ekans,2,023
24,Arbok,4,024
25,Pikachu,1;5,025
26,Raichu,3;6,026
27,Sandshrew,4,027
28,Sandslash,2;5,028
29,Nidoran♀,5;6,029
30,Nidorina,5,030
31,Nidoqueen,1;6,031
32,Nidoran♂,1;2,032
33,Nidorino,1,033
34,Nidoking,2,034
35,Clefairy,2;5,035
36,Clefable,3;6,036
37,Vulpix,2,037
38,Ninetales,5,038
39,Jigglypuff,6,039
40,Wigglytuff,3,040
41,Zubat,4;6,041
42,Golbat,2;4,042
43,Oddish,3;4,043
44,Gloom,6,044
45,Vileplume,1;2,045
46,Paras,2;4,046
47,Parasect,1,047
48,Venonat,1,048
49,Venomoth,2,049
50,Diglett,1;2,050
