1,Bulbasaur,3;6;7;28;35,001
2,Ivysaur,15;27;29;35,002
3,Venusaur,3;4;7;10;13;14;18;22,003
4,Charmander,6;8;19;21;25;27;35,004
5,Charmeleon,6;15;19,005
6,Charizard,9;11;14;21;22;23;24;31;33;36,006
7,Squirtle,15;18;25;30;36,007
8,Wartortle,18;21;26,008
9,Blastoise,8;9;10;17;18;24;26;30,009
10,Caterpie,4;5;6;9;28;32;33;34,010
11,Metapod,1;8;17;18;22;29;30;34,011
12,Butterfree,1;11;12;17;30;33;35,012
13,Weedle,1;11;16;21;24;34,013
14,Kakuna,3;4;6;16;27;32;34,014
15,Beedrill,13;14;20;21;22;28;33;34,015
16,Pidgey,2;5;15;19;22;36,016
17,Pidgeotto,3;5;22,017
18,Pidgeot,4;7;13;16;22;27;31,018
19,Rattata,4;7;16;22;26,019
20,Raticate,5;12;15;16;18;26;28;29;30,020
21,Spearow,11;27;32,021
22,Fearow,1;14;17;19;25;30,022
23,Ekans,2;4;14;19;21;31;34,023
24,Arbok,5;12;16,024
25,Pikachu,21;27;34,025
26,Raichu,9;20;21;25;26;30;33,026
27,Sandshrew,9;17;33,027
28,Sandslash,1;11;20;22;29;30;34,028
29,Nidoran♀,10;18;19;36,029
30,Nidorina,1;3;4;5;6;11;18;25;28,030
31,Nidoqueen,3;5;10;24;35,031
32,Nidoran♂,3;7;12;14;16;23,032
33,Nidorino,2;12;16;22;27,033
34,Nidoking,13;15;23;30;31,034
35,Clefairy,13;18;22;26,035
36,Clefable,2;4;8;12;14;17;20;34;36,036
37,Vulpix,1;3;13;17;26;28;30;35,037
38,Ninetales,5;8;10;17;20;21;22;35,038
39,Jigglypuff,12;18;20;25;26;27,039
40,Wigglytuff,14;26;29;30;31;32;34;35,040
41,Zubat,2;10;13;15;20,041
42,Golbat,5;13;16;21;23;25;26;32,042
43,Oddish,4;12;16;30;34;35,043
44,Gloom,8;9;11;15;25;27;28;29;31;33,044
45,Vileplume,5;11;16;18;19;29;31;36,045
46,Paras,2;5;14;22;27;30;35,046
47,Parasect,1;20;23;25;27;28;29;31,047
48,Venonat,2;11;18;22;25;28;32,048
49,Venomoth,2;6;9;26;28;33,049
50,Diglett,14;18;21;22;25;27;30;33,050
51,Dugtrio,2;3;5;15,051
52,Meowth,8;9;14;31,052
53,Persian,2;7;11;20;25,053
54,Psyduck,3;8;23;28;35,054
55,Golduck,5;7;23;24;28;30;32,055
56,Mankey,6;8;9;15;16;18;21;25;28;29,056
57,Primeape,12;14;21;26;32;34;36,057
58,Growlithe,6;16;27;32;36,058
59,Arcanine,6;10;15;16;19;22;26;35,059
60,Poliwag,4;7;8;17;18;20;23;24;30,060
61,Poliwhirl,7;18;19;31;34,061
62,Poliwrath,1;2;3;9;18;33;35,062
63,Abra,12;19;22;29;31,063
64,Kadabra,4;5;10;26;32,064
65,Alakazam,8;15;27;34;36,065
66,Machop,3;4;6;7;8;14;17;22;34,066
67,Machoke,3;10;15;19;29;31,067
68,Machamp,8;13;15;28;35,068
69,Bellsprout,11;19;20,069
70,Weepinbell,2;6;14;20;29;32;33;35;36,070
71,Victreebel,3;12;18,071
72,Tentacool,6;11;22;23;27;31;32;34,072
73,Tentacruel,3;4;6;9;11;19;25;26;30;31,073
74,Geodude,4;13;15;21;24;25;32;34,074
75,Graveler,1;2;8;10;11;16;18;32,075
76,Golem,10;18;19;32;33,076
77,Ponyta,5;9;13;25;33;34;36,077
78,Rapidash,10;12;20;29;31;32,078
79,Slowpoke,2;11;13;15;16;23;24;25;27;35,079
80,Slowbro,4;7;9;22;29;33,080
81,Magnemite,3;5;17;21;22;26;31,081
82,Magneton,3;4;5;8;14;16;19;24;35;36,082
83,Farfetch'd,3;4;19;21;23,083
84,Doduo,6;12;16;19;25;30;32,084
85,Dodrio,1;5;10;11;12;15;19;30;34,085
86,Seel,7;10;16;19;23;25;31;32,086
87,Dewgong,4;8;15;19;21;23;32,087
88,Grimer,3;20;29,088
89,Muk,6;9;12;13;18;24;27;31;34,089
90,Shellder,3;5;10;15;24;26;33,090
91,Cloyster,1;7;15;16;17;24;25,091
92,Gastly,3;8;9;20;27;31,092
93,Haunter,9;25;35,093
94,Gengar,3;7;12;15;18;23;27;32;36,094
95,Onix,4;8;13;18;26;31,095
96,Drowzee,5;9;14;16,096
97,Hypno,1;9;10;17;18;26,097
98,Krabby,16;21;23,098
99,Kingler,5;8;25;29;31;34,099
