id_mineral,nombre,simbolo_quimico,numero_atomico,masa_atomica
1,Min-DEF,Nf,66,133.616
2,Min-YOR,Dog,99,183.336
3,Min-UBO,Tjj,84,183.46
4,Min-GEO,S,114,254.778
5,Min-GCA,Ty,104,230.383
6,Min-ZHZ,Ne,50,123.442
7,Min-ADY,M,62,155.992
8,Min-XRT,Mfh,68,172.619
9,Min-IDZ,Ehd,104,254.034
10,Min-DTC,B,50,107.634
11,Min-LJS,Nx,16,35.681
12,Min-LCU,R,76,157.93
13,Min-KAW,Bq,31,60.723
14,Min-YLD,F,69,147.562
15,Min-XLG,B,78,190.667
16,Min-HIA,P,15,28.792
17,Min-OXG,Ecl,89,154.768
18,Min-QQX,Gsc,77,189.028
19,Min-AEC,I,93,238.595
20,Min-NSQ,W,86,203.842
21,Min-YQA,G,17,35.124
22,Min-GXE,Ajg,72,158.311
23,Min-VGH,Bdw,48,90.141
24,Min-HVN,Hb,85,207.783
25,Min-JJM,Nu,30,53.073
26,Min-VEP,R,13,31.369
27,Min-QIJ,Yim,52,132.806
28,Min-CZY,Tf,65,124.237
29,Min-WSH,Ykh,32,79.642
30,Min-PVY,Ydy,19,43.751
31,Min-PDZ,A,2,3.953
32,Min-HOO,Jd,69,129.118
33,Min-NHJ,Xtp,91,206.579
34,Min-VLT,No,21,42.241
35,Min-TIG,Tf,30,75.65
36,Min-USL,Kpu,80,174.444
37,Min-CHD,T,100,250.548
38,Min-QRC,Xaj,36,69.759
39,Min-LFS,K,80,196.616
40,Min-KCF,Ufi,15,30.993
41,Min-ZDU,Ijj,88,152.819
42,Min-DJS,Ma,22,38.386
43,Min-BFQ,Y,108,275.835
44,Min-PDR,G,76,160.285
45,Min-GPJ,Vbv,34,82.754
46,Min-PQL,Cn,72,134.099
47,Min-FKN,J,66,170.796
48,Min-XYN,Nah,54,92.394
49,Min-FSY,Qxu,107,192.892
50,Min-AFY,Ebe,86,192.164
51,Min-EML,U,56,122.917
52,Min-FDC,B,6,13.834
53,Min-FPF,Hz,69,163.254
54,Min-HBC,Ppn,77,180.439
55,Min-TWL,Lg,22,40.934
56,Min-FFF,M,51,109.322
57,Min-JRI,N,13,23.113
58,Min-OXL,Jzw,2,4.123
59,Min-WOY,Ch,47,86.98
60,Min-SZW,K,29,57.504
61,Min-CUN,Ajh,56,95.866
62,Min-HWT,Ahz,41,89.792
63,Min-SJS,Xee,89,199.098
64,Min-VQG,Z,39,90.832
65,Min-JBR,Qp,46,109.188
66,Min-JPT,Ntc,24,43.679
67,Min-AEJ,Xx,104,196.686
68,Min-IVM,Hm,46,95.822
69,Min-HSZ,Yu,41,79.537
70,Min-JLU,D,65,134.976
71,Min-TPW,Ly,45,102.634
72,Min-GQO,G,58,115.689
73,Min-XXI,Cf,88,209.801
74,Min-UHX,Vh,70,144.03
75,Min-AZM,Djq,12,27.285
76,Min-PHR,Zv,105,202.888
77,Min-BEG,C,11,24.471
78,Min-CIL,X,95,211.246
79,Min-PIQ,Dge,67,114.579
80,Min-PES,Cj,56,106.316
81,Min-FTY,O,40,98.225
82,Min-VIO,Xy,26,48.127
83,Min-NNP,Fk,36,64.149
84,Min-VZZ,Pq,57,120.601
