id_mision,fecha,hora,id_equipo,id_planeta,completada
1,2025-05-17,12:18,995,6,False
2,2026-01-06,04:12,955,511,None
3,2024-02-27,18:46,562,774,True
4,2025-02-04,22:41,905,640,True
5,2025-06-15,02:26,307,800,False
6,2025-09-18,22:34,644,910,False
7,2026-03-09,07:03,307,225,None
8,2026-01-13,14:45,967,1012,None
9,2026-05-29,22:00,408,122,None
10,2025-07-02,21:05,40,567,True
11,2024-11-18,23:10,984,1138,False
12,2024-01-03,21:06,360,81,True
13,2025-12-20,01:53,358,810,None
14,2024-11-17,07:42,101,108,True
15,2026-03-20,23:17,258,775,None
16,2023-01-02,13:32,760,893,True
17,2026-06-05,07:52,508,225,None
18,2025-03-12,00:52,355,144,False
19,2023-04-13,17:55,235,769,True
20,2025-07-13,17:47,226,208,False
21,2023-08-24,04:48,856,1133,False
22,2026-06-06,21:18,834,151,None
23,2026-07-12,11:56,44,426,None
24,2024-05-11,13:15,730,410,False
25,2025-01-09,10:25,988,289,False
26,2024-06-20,09:35,661,138,True
27,2024-11-20,23:33,833,61,True
28,2026-03-26,20:37,819,411,None
29,2025-05-08,16:36,96,1043,False
30,2022-12-30,15:54,55,625,False
31,2023-08-08,00:48,573,1052,True
32,2026-02-25,19:47,793,1142,None
33,2025-02-06,02:44,626,26,True
34,2025-03-03,04:54,901,1162,True
35,2025-08-28,02:38,691,67,True
36,2024-01-04,23:22,475,346,False
37,2024-08-15,13:28,259,260,False
38,2023-02-20,09:22,676,1122,False
39,2025-11-26,07:16,436,637,None
40,2023-12-26,05:36,854,860,False
41,2023-12-10,23:43,992,951,True
42,2025-05-04,02:16,647,1076,True
43,2026-07-24,06:12,477,430,None
44,2023-01-20,23:47,406,475,True
45,2026-02-04,02:33,89,793,None
46,2023-12-19,00:16,710,367,True
47,2025-06-18,15:59,232,1072,True
48,2024-03-09,14:28,538,920,True
49,2025-04-14,14:18,973,721,False
50,2023-08-06,01:57,301,18,True
51,2024-05-11,13:28,743,457,True
52,2025-08-11,13:35,923,442,False
53,2024-01-03,02:06,900,1153,True
54,2025-03-02,22:23,194,672,False
55,2025-02-07,02:22,655,248,True
56,2023-08-24,14:28,501,396,False
57,2025-12-10,06:58,25,327,None
58,2026-08-01,08:56,787,549,None
59,2025-08-08,20:34,981,79,False
60,2026-03-14,13:45,193,430,None
61,2023-07-02,16:13,826,470,False
62,2023-12-12,22:08,499,625,True
63,2025-09-17,17:12,116,486,True
64,2024-04-17,12:47,326,275,False
65,2025-06-08,08:41,177,1133,False
66,2023-06-10,00:25,45,44,False
67,2023-08-26,17:14,54,259,False
68,2026-06-20,02:47,395,515,None
69,2024-06-01,09:18,523,154,True
70,2025-06-29,21:01,610,225,False
71,2023-07-04,07:36,721,334,False
72,2024-01-29,01:06,208,709,False
73,2024-12-12,16:54,525,594,False
