id_mision,id_mineral,cantidad
1026,1,1489.568
3075,1,1389.343
3326,1,2098.87
134,2,3605.423
786,2,2941.805
3269,2,3078.088
1154,3,1613.66
1211,3,2104.305
2031,3,4495.403
2888,3,2597.498
2138,4,3093.545
2544,4,3618.373
31,5,1837.043
725,5,4071.048
1365,5,2243.572
2327,5,118.453
2764,5,4855.567
3182,5,2987.577
600,6,3392.284
2285,6,2727.311
2376,6,3468.445
2788,6,3379.703
3243,6,4859.76
3472,6,917.463
65,7,947.64
370,7,141.862
1428,7,396.455
3410,7,4146.824
2180,8,3433.549
3008,8,1420.266
3537,8,830.982
519,9,4313.846
1570,9,666.272
3748,9,4559.607
321,10,3392.42
496,10,1307.215
517,10,4637.376
571,10,3767.799
1977,10,2764.029
1170,11,823.929
1598,11,4909.473
2985,11,2205.227
43,12,2384.8
1237,12,763.281
3303,12,714.656
3453,12,2286.726
121,13,1299.213
369,13,4000.133
1530,13,1449.527
1837,13,2383.399
40,14,235.946
434,14,2108.187
3140,14,3284.846
3271,14,850.799
3518,14,2859.783
3696,14,3613.228
72,15,2181.518
1963,15,2573.201
3841,15,4025.577
830,17,360.861
1299,17,2690.228
1318,17,710.352
2571,17,3240.28
2829,17,914.384
255,19,1330.184
268,19,456.939
332,19,2956.219
560,19,2979.38
2037,19,4342.356
2536,19,1470.61
3070,19,4973.092
2064,20,1708.222
3099,20,4101.712
3785,20,1117.294
764,21,1081.555
1078,21,1653.768
2516,21,2093.742
2547,21,3197.584
3824,21,900.261
3991,21,1407.838
1547,22,4943.345
2798,22,863.087
1230,23,4195.546
1438,23,126.285
1816,23,2863.942
2415,23,1512.245
2506,23,2617.209
1484,24,4083.555
882,25,2334.678
1950,25,3047.808
2789,25,3029.531
3711,25,907.55
293,26,1286.51
1230,26,4430.787
1295,26,3474.69
3845,26,4381.356
77,27,2995.736
1080,27,2148.627
2973,27,3050.05
3293,27,1773.385
1992,28,553.066
2686,28,1821.408
2760,28,778.89
763,29,1669.762
928,29,114.283
2824,29,1272.255
3419,29,4975.92
3710,29,1880.965
583,30,4589.206
1727,30,1557.326
1909,30,3368.85
2643,30,2424.435
2981,30,1990.27
392,31,2595.543
469,31,3831.633
590,31,1530.946
1461,31,4640.966
1600,31,4957.968
2772,31,2597.961
3194,31,1159.803
654,32,4951.394
2461,32,4983.613
3453,32,4306.725
3981,32,2821.528
135,33,4302.902
195,33,4538.673
275,33,3503.159
1410,33,1237.548
2174,33,4924.134
3004,33,3228.059
32,34,571.684
197,34,3745.772
2292,34,4508.878
2347,34,4248.931
2844,34,3511.916
1592,35,1865.623
3220,35,1550.838
3170,37,3609.63
3670,37,2982.261
71,38,54.492
732,38,2455.395
840,38,4527.902
1153,38,3810.439
3644,38,4051.084
1173,39,485.229
1533,39,2046.094
1947,39,1189.444
25,40,3017.508
152,40,944.336
299,40,4523.708
1240,40,4049.098
3578,40,3925.209
67,41,2471.228
879,41,292.374
2589,41,828.85
3010,41,4396.707
3738,41,4888.502
3935,41,3589.035
1873,42,76.481
3209,42,2476.374
3773,42,4601.265
3827,42,750.709
3446,43,3685.717
793,44,2083.869
1735,44,2226.581
1796,44,4651.107
2665,44,3352.979
3101,44,16.477
3746,44,672.705
823,45,1004.749
1999,45,2091.974
2801,45,4570.181
3051,45,1588.003
3592,45,2665.94
1061,46,4001.702
1903,46,2110.726
1976,46,3415.494
2034,46,2732.901
3529,46,1002.545
1706,47,2974.587
2327,47,1054.543
2601,47,205.657
69,48,3414.998
3343,48,2530.478
3578,48,4579.124
722,49,607.555
1226,49,3915.287
1452,49,4725.843
3642,49,2115.917
2283,50,4011.087
3235,50,4197.638
214,51,798.203
346,51,3764.237
417,51,4757.796
475,51,1603.578
1709,51,2545.286
2100,51,3655.704
2843,51,1353.032
3346,51,4223.421
3465,51,901.689
3637,51,4834.175
3941,51,2399.626
3986,51,4283.14
861,52,3716.49
986,52,4625.642
3010,52,764.455
647,53,4801.842
1252,53,3481.023
1443,53,1446.307
1635,53,3657.143
1749,53,4316.379
3451,53,4168.781
3651,53,3542.206
3933,53,1381.83
83,54,2260.023
219,54,799.685
1577,54,3423.3
1691,54,3520.035
2677,54,583.822
2877,54,2665.607
3834,54,3026.549
1916,55,404.495
3685,55,3099.28
3797,55,329.901
3863,55,525.967
1093,56,1844.92
2007,56,2959.627
2124,56,2021.428
3434,56,334.663
1226,57,502.396
89,58,1870.214
274,58,3761.403
1452,58,1586.383
305,59,2831.376
2598,59,870.447
2651,59,4728.978
3282,59,3510.601
3302,59,3999.97
3345,59,4533.479
686,60,2803.81
915,60,195.605
1432,60,1685.257
1818,60,4660.733
3028,60,513.164
3940,60,2966.178
486,61,2912.291
2405,61,320.998
2703,61,4416.184
3369,61,2074.058
3389,61,4820.369
3774,61,3334.895
363,62,4411.284
383,62,3011.963
997,62,1114.957
1031,62,560.273
1428,62,960.442
1465,62,2372.752
1933,62,693.699
2560,62,3773.64
3818,62,2014.254
3906,62,4538.851
173,63,4067.899
176,63,845.201
