id_planeta,nombre,coordenada_x,coordenada_y,tamano,tipo
1,P-824,566960.859,326000.337,XL,Gas
2,P-584,519259.925,837512.285,S,Criogénico
3,P-225,-206193.678,-229766.32,S,Líquido
4,P-933,842045.448,120355.17,L,Líquido
5,P-149,553651.86,324016.908,L,Criogénico
6,P-587,-237320.855,-499858.545,S,Gas
7,P-940,346750.195,500191.945,L,Criogénico
8,P-838,32117.942,-925997.966,L,Líquido
9,P-264,-330240.783,786437.782,XL,Rocoso
10,P-101,-100560.729,389827.766,M,Sólido
11,P-501,938065.603,917475.687,S,Líquido
12,P-655,-574310.854,-310104.968,M,Plasma
13,P-264,161464.09,-339424.624,XL,Plasma
14,P-569,853130.526,-49659.699,M,Plasma
15,P-580,513011.314,-580717.592,S,Plasma
16,P-841,825494.64,-45017.943,XL,Sólido
17,P-407,-19954.013,-848084.74,L,Sólido
18,P-559,571635.553,727012.509,XL,Plasma
19,P-828,233702.841,306558.906,S,Líquido
20,P-559,-360367.212,-41556.036,XL,Gas
21,P-723,923870.127,472916.768,XL,Sólido
22,P-582,799022.944,478306.618,XL,Rocoso
23,P-188,893382.484,-324503.603,XL,Rocoso
24,P-474,637421.119,-173902.646,M,Rocoso
25,P-287,-272121.194,-800736.319,L,Plasma
26,P-347,349727.307,316316.571,S,Líquido
27,P-685,-311504.831,203763.531,XL,Gas
28,P-982,-689512.01,6193.38,L,Rocoso
29,P-532,-285118.35,40023.881,XL,Líquido
30,P-295,675376.407,504500.749,XL,Líquido
31,P-374,129835.918,-77026.417,S,Líquido
32,P-291,16400.121,613773.321,XL,Gas
33,P-741,-471820.072,-263548.942,S,Criogénico
34,P-638,624898.1,-665364.974,M,Rocoso
35,P-196,-460047.802,288685.081,S,Criogénico
36,P-141,-569950.978,-994583.964,L,Gas
37,P-440,-748616.268,-299760.16,L,Rocoso
38,P-617,-312578.487,150827.364,M,Sólido
39,P-103,-611290.276,-537336.556,L,Gas
40,P-552,215628.942,909567.81,XL,Criogénico
41,P-640,779412.783,-13614.967,L,Gas
42,P-327,139136.372,536251.85,M,Gas
43,P-111,370406.952,150771.553,XL,Gas
44,P-445,-936697.761,-602771.585,S,Rocoso
45,P-768,-790017.885,-26003.444,M,Criogénico
46,P-858,-821874.912,-848220.065,XL,Gas
47,P-805,-338135.309,691343.384,L,Plasma
48,P-237,74775.899,-161457.55,M,Plasma
49,P-523,601383.777,-763921.627,XL,Líquido
50,P-305,15.878,-142949.657,XL,Sólido
51,P-291,-369228.62,400618.905,S,Gas
52,P-928,519002.591,-932007.884,S,Sólido
53,P-377,950633.036,258741.05,S,Criogénico
54,P-813,-557111.232,-942027.644,L,Criogénico
55,P-778,-859497.043,986187.366,XL,Líquido
56,P-670,568222.152,848016.499,S,Plasma
57,P-612,947129.51,213375.833,XL,Sólido
58,P-843,-620813.527,600341.495,S,Rocoso
59,P-591,-6303.825,833089.953,S,Sólido
60,P-411,599511.002,181468.435,S,Sólido
61,P-910,607536.65,-506528.978,XL,Criogénico
62,P-914,-31769.017,-801912.462,XL,Rocoso
63,P-855,-714606.61,153538.603,L,Criogénico
64,P-526,590402.803,-890014.217,S,Gas
65,P-589,409797.829,24397.941,XL,Sólido
66,P-493,-930029.951,374564.542,M,Gas
67,P-639,-983220.463,728957.219,M,Gas
68,P-314,-441908.576,-814511.289,L,Sólido
69,P-523,693251.498,-542489.364,M,Sólido
70,P-394,795184.404,82972.774,M,Gas
71,P-752,-344743.926,250525.227,L,Criogénico
72,P-880,-991640.342,-532200.547,M,Sólido
73,P-374,-869718.551,607765.952,M,Sólido
74,P-302,-766379.992,848117.822,XL,Sólido
75,P-494,486722.324,431126.732,XL,Rocoso
76,P-472,-555022.918,-93297.276,M,Sólido
77,P-747,226353.008,-745197.425,M,Plasma
78,P-844,-384350.3,-478582.878,XL,Plasma
79,P-925,233756.938,-766605.026,S,Gas
80,P-270,672530.733,840247.11,M,Rocoso
81,P-855,-689305.531,-583482.938,S,Plasma
82,P-111,-994496.106,889461.272,M,Sólido
83,P-983,450430.351,-72320.381,S,Criogénico
84,P-520,568711.709,491596.027,M,Gas
85,P-684,-63333.046,-670777.94,L,Criogénico
86,P-307,89314.045,-832966.087,L,Sólido
87,P-410,-569625.812,339257.655,M,Criogénico
88,P-629,-660415.042,687415.195,L,Criogénico
89,P-591,-140920.242,-352815.265,L,Líquido
90,P-113,17616.152,-233678.256,L,Líquido
91,P-522,-860439.466,-721448.432,XL,Líquido
92,P-450,-682313.844,132105.987,S,Gas
93,P-688,948914.855,853086.311,XL,Criogénico
94,P-823,836380.279,996101.475,XL,Gas
95,P-825,-706642.556,-980037.64,S,Plasma
96,P-916,371737.245,-79374.85,S,Líquido
97,P-209,225074.028,842927.284,M,Plasma
98,P-328,22942.301,-646697.376,XL,Líquido
99,P-132,169263.639,835912.941,L,Rocoso
100,P-485,912833.558,-46141.653,S,Gas
101,P-486,55858.352,-661377.312,L,Plasma
102,P-161,-181828.561,-166502.143,S,Gas
103,P-305,421952.253,-36027.509,M,Líquido
104,P-600,142482.154,348999.436,M,Criogénico
105,P-461,898527.811,884732.402,XL,Sólido
106,P-433,-193259.438,875995.672,L,Rocoso
107,P-637,84863.419,-293076.029,L,Plasma
108,P-141,-919402.461,811930.074,L,Plasma
109,P-474,-710165.649,733671.664,L,Sólido
110,P-123,-24948.472,-166229.637,S,Sólido
111,P-435,-198355.036,-778832.751,XL,Plasma
112,P-874,-905199.092,998843.704,M,Rocoso
113,P-377,622404.31,-800705.233,M,Sólido
114,P-385,-719804.613,-872461.186,M,Sólido
115,P-172,23902.535,471668.357,L,Gas
116,P-519,385997.199,-805733.759,XL,Líquido
117,P-874,-133875.677,586296.502,S,Criogénico
118,P-877,-752822.744,438441.72,XL,Sólido
119,P-913,-877751.291,-559383.659,M,Plasma
120,P-118,-960000.717,504367.11,XL,Rocoso
121,P-670,145506.679,-95530.525,M,Criogénico
122,P-191,-629943.718,-572316.446,L,Gas
123,P-587,36608.141,-690652.3,S,Criogénico
124,P-667,730819.752,-717822.352,XL,Líquido
125,P-283,-768311.481,-701365.146,M,Criogénico
126,P-845,436851.969,886697.777,XL,Líquido
127,P-913,-198831.359,-310028.411,XL,Gas
128,P-742,-971008.613,118268.511,M,Líquido
129,P-682,-432000.091,851113.17,L,Plasma
130,P-204,469748.11,-725538.397,XL,Criogénico
131,P-336,-663785.68,667511.921,L,Rocoso
132,P-170,809485.252,724408.65,XL,Sólido
133,P-137,920288.9,701678.049,M,Sólido
134,P-149,387176.547,316734.286,M,Gas
135,P-980,788992.94,107274.13,S,Líquido
136,P-629,-195658.396,543672.442,M,Plasma
137,P-876,634431.823,-835308.88,XL,Rocoso
138,P-577,705269.538,413280.833,M,Gas
139,P-736,603698.987,-636928.682,L,Sólido
140,P-685,-488545.323,764440.891,L,Líquido
141,P-472,-704346.253,676050.92,S,Plasma
142,P-285,-841893.839,382240.162,XL,Criogénico
143,P-431,71896.673,218480.656,M,Líquido
144,P-210,852094.843,-761749.199,L,Líquido
145,P-133,-83311.348,215743.727,S,Plasma
146,P-703,-972731.137,706196.487,XL,Gas
147,P-730,-100236.56,-225443.888,L,Líquido
148,P-246,618011.547,791063.71,M,Rocoso
149,P-597,-90366.975,-702133.446,L,Sólido
150,P-247,133884.006,33092.348,S,Criogénico
151,P-361,-822624.666,717295.063,L,Sólido
152,P-188,-138719.137,-882683.678,M,Gas
153,P-975,914329.046,849178.005,M,Plasma
154,P-419,-17310.636,881163.586,M,Sólido
155,P-674,465.265,-933777.668,M,Sólido
156,P-299,148316.132,257164.557,XL,Gas
157,P-511,-113693.759,-705523.225,M,Rocoso
158,P-760,924888.889,-665985.285,S,Sólido
159,P-401,-108918.298,-389849.771,L,Criogénico
160,P-290,-626952.226,-14023.289,L,Gas
161,P-358,-773512.157,218503.881,XL,Líquido
162,P-766,-690364.256,-126323.423,XL,Sólido
163,P-908,-751826.94,-635494.82,L,Gas
164,P-165,339418.446,-748385.454,M,Rocoso
165,P-432,568457.638,-20043.07,L,Plasma
166,P-729,-347486.17,-129758.129,L,Plasma
167,P-227,919170.792,-82179.417,L,Gas
168,P-693,-14768.013,-625706.283,M,Criogénico
169,P-270,-931209.983,989984.06,S,Criogénico
170,P-548,-249790.144,-239510.057,XL,Sólido
171,P-843,744796.803,740233.74,XL,Rocoso
172,P-928,972894.284,548127.276,M,Gas
173,P-745,852552.676,686081.797,L,Gas
174,P-159,-478058.15,-913551.946,XL,Sólido
175,P-840,915295.712,572583.626,M,Plasma
176,P-494,-887717.632,-826992.298,XL,Gas
177,P-208,-238019.403,855342.141,XL,Gas
178,P-355,265442.937,-661203.504,L,Criogénico
179,P-482,648648.165,875125.318,L,Rocoso
180,P-614,618608.431,-741046.676,M,Sólido
181,P-920,691297.289,366315.674,L,Gas
182,P-199,-552294.362,658492.173,XL,Plasma
183,P-517,-609880.059,648367.759,S,Líquido
184,P-328,-954.326,-270012.579,M,Líquido
185,P-844,851851.828,-370522.296,M,Gas
186,P-883,212422.441,-434467.437,XL,Rocoso
187,P-660,767238.455,-319065.651,S,Sólido
188,P-601,-63084.104,655904.11,S,Plasma
189,P-465,-82643.973,974003.151,L,Líquido
190,P-770,-307429.589,-410885.657,S,Plasma
191,P-510,-52760.944,78355.22,XL,Sólido
192,P-178,174335.084,-527102.626,XL,Gas
193,P-247,692059.989,927469.438,XL,Sólido
194,P-160,578624.299,-530922.558,M,Criogénico
195,P-987,36346.071,638654.812,S,Sólido
196,P-558,771666.154,656321.079,M,Plasma
197,P-921,580656.669,-600348.311,L,Plasma
198,P-691,-494310.87,-422220.733,M,Rocoso
199,P-670,781292.292,-558373.963,L,Plasma
200,P-610,317595.984,-187646.884,M,Criogénico
201,P-427,-556113.83,-681720.88,M,Criogénico
202,P-208,641068.988,923557.251,XL,Sólido
203,P-504,656957.01,-431004.34,M,Criogénico
204,P-672,-865386.758,346651.071,M,Plasma
205,P-861,-577785.074,-98445.897,M,Líquido
206,P-525,-909198.819,440207.393,XL,Líquido
207,P-156,114215.692,749054.656,S,Rocoso
208,P-792,-987275.195,-757389.66,L,Plasma
209,P-677,730076.901,740519.259,L,Plasma
210,P-865,122048.646,328278.567,S,Criogénico
211,P-473,-835792.433,-548019.827,M,Criogénico
212,P-834,179425.143,208959.917,S,Gas
213,P-373,-672550.103,-237661.557,S,Gas
214,P-567,542097.576,-24212.771,XL,Criogénico
215,P-190,-472439.214,732226.5,M,Líquido
216,P-142,-594661.504,-584541.949,S,Gas
217,P-242,-766604.278,-787859.892,S,Rocoso
218,P-138,-317439.243,-723510.474,XL,Líquido
219,P-709,-547883.702,602593.6,XL,Rocoso
220,P-804,-635663.803,-909351.968,S,Sólido
221,P-294,-90993.384,129374.052,S,Líquido
222,P-757,26629.832,-395242.896,M,Gas
223,P-333,-580476.056,-661695.079,S,Gas
224,P-317,203784.503,364579.879,S,Sólido
225,P-918,50585.423,-793356.284,M,Plasma
226,P-284,839567.001,602486.782,L,Rocoso
227,P-542,-163686.416,389326.169,L,Sólido
228,P-438,838171.494,-113226.929,L,Sólido
229,P-181,-706909.684,-552177.304,S,Criogénico
230,P-990,-750346.942,-509562.527,S,Sólido
231,P-319,-570445.126,332102.846,S,Sólido
232,P-321,805125.991,209946.914,XL,Plasma
233,P-487,-254456.86,-910941.427,L,Sólido
234,P-921,429403.108,776569.349,XL,Plasma
235,P-663,-51248.645,881719.227,XL,Gas
236,P-516,-237067.014,721737.814,M,Gas
237,P-461,789658.999,-605592.229,L,Líquido
238,P-242,-419749.242,-155085.559,S,Sólido
239,P-149,-813199.961,-288167.236,L,Plasma
240,P-278,852475.661,786528.165,L,Gas
241,P-614,-93530.066,534892.918,M,Gas
242,P-140,-605289.71,-128782.749,L,Rocoso
243,P-814,-898069.303,-952763.551,XL,Rocoso
244,P-283,393830.424,-941062.154,XL,Líquido
245,P-476,-21058.377,-731616.733,S,Líquido
246,P-309,511784.1,555265.243,M,Sólido
247,P-922,-53974.626,-200064.204,S,Líquido
248,P-638,-78946.112,-362172.676,XL,Gas
249,P-189,-202779.797,665692.108,XL,Sólido
250,P-815,59526.117,-17707.225,L,Gas
251,P-896,-857698.377,221488.759,L,Sólido
252,P-581,-375356.265,-215404.694,XL,Sólido
253,P-947,464813.487,-755362.7,S,Plasma
254,P-405,-524454.353,556114.509,S,Criogénico
255,P-645,571211.136,-672165.06,S,Líquido
256,P-761,369750.82,-36475.153,L,Gas
257,P-795,403342.054,449677.477,XL,Rocoso
258,P-947,353536.461,851782.695,XL,Plasma
259,P-815,-28987.215,293896.978,XL,Plasma
260,P-232,-933782.32,-336659.286,S,Gas
261,P-538,10028.455,-701901.643,M,Gas
262,P-330,346910.02,-914215.171,L,Líquido
263,P-953,-206655.884,413872.803,L,Rocoso
264,P-378,487442.712,-692289.939,S,Gas
265,P-470,203131.279,-362011.382,M,Criogénico
266,P-659,-354527.666,-303331.926,L,Rocoso
267,P-880,-305300.905,316796.676,M,Rocoso
268,P-970,-61331.261,-401773.582,M,Criogénico
269,P-919,-837455.351,844429.38,XL,Líquido
270,P-111,742778.968,867768.51,M,Sólido
271,P-883,283198.595,827932.11,L,Sólido
272,P-125,967031.605,759361.711,XL,Líquido
273,P-842,-231031.45,-552487.117,M,Plasma
274,P-753,900106.367,122932.785,S,Líquido
275,P-185,917938.788,238647.928,S,Líquido
276,P-710,677870.91,-356353.157,XL,Plasma
277,P-220,-948371.813,130848.177,L,Líquido
278,P-871,-805958.404,-436290.867,L,Gas
279,P-337,-686482.123,402930.242,M,Gas
280,P-340,-113169.274,-414517.739,S,Líquido
281,P-286,-964978.516,875297.427,S,Plasma
282,P-885,-93473.351,934453.1,S,Criogénico
283,P-749,-643576.823,594824.522,XL,Líquido
284,P-918,182535.295,971661.402,L,Gas
285,P-163,247847.741,684930.499,M,Criogénico
286,P-717,586019.977,967608.074,XL,Líquido
287,P-583,-789672.874,750339.239,L,Plasma
288,P-500,534664.934,-23313.651,S,Rocoso
289,P-167,435566.618,113366.31,M,Gas
290,P-404,-863993.65,-236717.131,M,Criogénico
291,P-559,-796832.844,40707.91,M,Líquido
292,P-582,835993.208,-187278.268,XL,Sólido
293,P-184,-637822.044,767339.515,XL,Gas
294,P-274,-458972.643,583512.928,XL,Rocoso
295,P-615,-691668.756,-183572.156,S,Plasma
296,P-506,-256844.847,490755.76,L,Líquido
297,P-845,496649.21,-230649.308,XL,Líquido
298,P-148,938549.888,997544.653,XL,Líquido
299,P-525,-721737.89,610118.813,L,Criogénico
300,P-960,858576.612,546100.37,L,Criogénico
301,P-286,837132.339,155107.628,XL,Sólido
302,P-105,-726082.001,40310.872,M,Plasma
303,P-509,-37250.76,747960.994,S,Criogénico
304,P-529,-464994.372,-390683.345,M,Plasma
305,P-695,-33279.129,-495547.424,S,Plasma
306,P-285,246523.634,-343311.807,XL,Gas
307,P-638,-10108.604,173398.027,XL,Plasma
308,P-927,904546.916,104446.999,XL,Rocoso
309,P-170,448342.811,26106.71,S,Líquido
310,P-904,-63252.266,-4374.672,S,Sólido
311,P-400,910932.578,652860.343,XL,Criogénico
312,P-722,-528897.197,-386717.807,M,Plasma
313,P-755,280542.258,-524923.539,M,Criogénico
314,P-290,148591.293,76988.414,XL,Gas
315,P-132,43305.009,-488761.867,M,Rocoso
316,P-477,860176.98,472045.642,XL,Líquido
317,P-890,-157545.524,113127.67,L,Rocoso
318,P-771,768388.984,617843.644,XL,Plasma
319,P-224,-751903.446,-113740.745,S,Líquido
320,P-770,360929.856,-207231.768,XL,Plasma
321,P-149,640683.179,52268.172,S,Criogénico
322,P-212,-777069.309,-306212.876,M,Plasma
323,P-268,-863465.879,-558520.924,S,Rocoso
324,P-571,-524323.153,-175270.012,M,Plasma
325,P-957,677747.912,870938.531,M,Sólido
326,P-447,-401224.872,-719737.232,M,Sólido
327,P-694,872372.997,462738.305,XL,Líquido
328,P-106,-291792.267,905351.632,L,Criogénico
329,P-894,-436316.416,-269066.02,XL,Rocoso
330,P-979,-513187.118,198043.211,S,Criogénico
331,P-328,934200.755,-198000.12,XL,Gas
332,P-800,-367141.735,244377.715,S,Gas
333,P-901,610798.727,671625.211,M,Rocoso
334,P-454,-607826.432,681486.967,S,Gas
335,P-132,-536700.615,-450976.977,S,Líquido
336,P-537,264253.915,646665.123,S,Rocoso
337,P-798,906894.037,-74490.858,M,Líquido
338,P-248,-654261.478,-599134.077,L,Plasma
339,P-532,626950.135,16608.174,L,Gas
340,P-737,892068.677,-352245.948,L,Gas
341,P-494,114838.632,-491843.816,L,Sólido
342,P-990,40735.756,564921.715,S,Criogénico
343,P-212,887540.691,789250.262,S,Criogénico
344,P-335,-844671.984,-570552.021,XL,Criogénico
345,P-787,-420177.184,-807048.14,XL,Criogénico
346,P-947,251096.908,-168810.9,S,Sólido
347,P-367,-194288.314,69116.256,L,Gas
348,P-731,-56368.249,191765.857,L,Gas
349,P-437,-262009.022,-978872.947,L,Rocoso
350,P-152,-173494.51,-990637.745,L,Líquido
351,P-738,288037.398,613716.316,L,Sólido
352,P-535,-988479.147,941719.805,L,Sólido
353,P-436,-492235.296,463598.556,S,Criogénico
354,P-708,-832920.57,864229.488,XL,Sólido
355,P-354,996186.702,606911.185,M,Gas
356,P-433,214492.662,-817717.431,M,Criogénico
357,P-984,134305.423,-315892.695,M,Plasma
358,P-108,-743920.343,-325573.284,M,Rocoso
359,P-590,488076.278,-838598.927,M,Líquido
