id_planeta,id_mineral,cantidad_disponible,pureza
1,1903,515397.437,0.626
1,1474,363022.208,0.357
1,188,977608.34,0.16
1,696,240426.92,0.901
2,1086,321671.696,0.31
3,1422,586734.071,0.886
3,1907,38483.012,0.803
3,65,575188.421,0.835
3,926,740509.615,0.519
4,1880,186611.169,0.232
4,1660,221507.998,0.901
4,369,32748.451,0.329
4,129,855306.273,0.491
5,188,442494.439,0.164
5,1421,553627.538,0.379
6,272,747474.96,0.258
6,206,351952.425,0.633
7,712,180826.009,0.901
8,645,447930.158,0.737
8,1113,998045.877,0.242
8,717,714490.605,0.728
9,1504,201508.808,0.483
9,585,243308.95,0.064
9,1693,647251.504,0.501
9,881,132090.731,0.559
9,335,193769.931,0.945
9,296,792196.243,0.472
10,1758,68828.452,0.108
10,158,710053.612,0.155
10,1573,470834.649,0.661
10,83,850194.968,0.761
11,536,106103.155,0.147
11,654,882461.438,0.668
11,1880,659916.54,0.943
12,722,346422.561,0.072
12,1028,383092.436,0.166
12,1265,299383.811,0.183
13,1987,809466.162,0.472
14,511,588043.998,0.826
14,1181,61631.457,0.053
14,582,143834.772,0.886
14,1973,723554.054,0.19
14,800,938306.45,0.947
15,1668,947347.219,0.438
16,1490,78995.381,0.319
17,1632,817843.537,0.354
17,1914,577152.529,0.587
17,1707,545205.385,0.663
17,1184,926793.107,0.238
17,749,956508.171,0.213
18,1364,272437.359,0.053
18,59,311833.944,0.903
18,1677,862125.97,0.251
18,1209,623210.336,0.218
18,1789,550273.965,0.244
19,1484,547259.254,0.783
20,205,499410.911,0.955
20,965,620246.273,0.949
20,48,707325.226,0.624
20,683,98545.085,0.36
21,203,758254.003,0.126
21,918,855472.957,0.706
21,1308,804016.973,0.595
21,1408,781845.068,0.714
22,218,231285.863,0.773
22,1624,232989.969,0.73
22,850,724305.433,0.99
22,1299,410211.499,0.926
22,1583,289597.588,0.706
22,584,413864.146,0.596
23,1875,591066.685,0.744
23,800,163423.54,0.797
24,1145,575096.601,0.773
24,1868,102934.104,0.191
24,567,822376.142,0.909
25,248,160911.828,0.074
25,257,507784.198,0.734
25,798,576105.602,0.337
25,1820,905613.955,0.591
25,600,621715.057,0.105
25,806,302875.663,0.68
26,123,834703.434,0.063
26,1682,586691.981,0.748
27,370,435605.966,0.053
27,871,311354.921,0.622
27,1512,245290.42,0.271
27,1378,160076.782,0.219
27,170,420300.453,0.785
28,1216,480251.037,0.15
29,180,763468.305,0.665
30,1850,184662.964,0.16
30,448,640875.811,0.123
30,555,17545.994,0.337
31,1723,560827.986,0.237
32,1312,225210.621,0.418
32,1650,923524.247,0.255
32,738,66450.417,0.921
32,506,481256.845,0.296
32,1867,665145.187,0.712
32,1785,98115.201,0.91
33,1182,979512.401,0.208
34,1799,56583.892,0.401
34,1544,672864.482,0.121
34,978,768146.395,0.222
35,1458,807657.934,0.156
35,7,682874.909,0.768
36,1787,358904.72,0.927
36,1633,955554.011,0.87
37,1211,142555.467,0.122
37,1230,600399.675,0.564
37,1218,941689.9,0.964
37,1123,577373.63,0.243
38,1913,645030.679,0.056
38,789,225617.334,0.709
38,614,315125.216,0.959
38,1085,740183.776,0.397
38,1301,406342.575,0.777
38,371,812148.046,0.899
39,373,900981.104,0.773
39,1556,746279.091,0.096
39,846,733468.941,0.735
39,1259,787979.219,0.375
39,817,446812.993,0.488
39,1453,983897.242,0.981
40,301,749915.978,0.325
40,1105,930855.781,0.949
40,34,553739.975,0.905
40,760,575347.201,0.394
41,1188,605321.211,0.704
42,1843,17540.961,0.33
42,939,546414.786,0.158
42,403,888159.723,0.388
42,380,624140.289,0.642
42,1898,146139.308,0.161
42,88,299519.882,0.303
43,1881,475597.583,0.81
44,787,669364.852,0.708
44,1919,671106.196,0.104
44,275,910175.057,0.848
44,319,877986.532,0.539
44,67,305778.077,0.165
44,1376,800199.729,0.984
45,1099,59955.836,0.381
45,1928,139007.642,0.828
46,1694,425478.774,0.882
46,1877,688297.297,0.647
46,1596,613313.928,0.85
46,196,899848.342,0.143
47,960,293124.666,0.494
47,1321,942797.236,0.198
48,508,346585.217,0.523
48,1807,345643.443,0.129
48,137,395119.369,0.642
48,1298,451785.302,0.613
49,1176,555006.157,0.696
49,1860,920692.537,0.65
50,281,889679.662,0.677
50,901,328635.902,0.772
50,110,907081.204,0.54
51,589,223788.67,0.848
52,803,89066.337,0.472
52,1308,891787.135,0.441
53,989,114166.008,0.078
53,1960,799008.854,0.186
53,1776,420130.873,0.225
53,1811,567301.874,0.909
53,1714,510317.222,0.86
53,1260,865483.796,0.464
54,1504,851095.779,0.587
55,1235,214939.089,0.464
56,959,118718.523,0.625
56,420,416994.058,0.601
56,1746,388674.977,0.327
56,914,128037.784,0.869
56,361,229968.743,0.977
57,1149,7061.7,0.818
57,888,99395.53,0.368
58,211,900841.877,0.903
59,187,936100.322,0.405
59,190,431339.091,0.621
59,961,318397.688,0.255
59,672,120096.701,0.88
60,120,289717.039,0.93
60,560,815201.798,0.87
60,1474,172986.59,0.734
60,1002,26105.327,0.854
61,784,523091.921,0.219
61,945,191234.383,0.373
62,715,609356.665,0.21
62,1327,839191.769,0.865
63,215,269916.435,0.772
63,1790,554032.949,0.078
64,1611,355566.278,0.472
64,856,39560.807,0.575
64,1729,537816.273,0.081
64,866,201527.622,0.163
64,1735,596395.23,0.903
65,1348,200430.123,0.587
65,1390,828497.355,0.604
65,157,213906.471,0.965
66,1820,60495.765,0.586
66,1735,736060.832,0.529
66,1092,268733.534,0.436
67,32,826232.315,0.592
67,338,170382.329,0.825
67,1740,870550.589,0.371
68,991,581985.817,0.519
68,923,315671.019,0.305
