id_equipo,patente_nave,id_astronauta,rango
1,N-001,537,5
1,N-001,2011,3
2,N-002,1902,2
3,N-003,125,5
3,N-003,391,3
4,N-004,1337,1
4,N-004,1471,4
4,N-004,2148,4
5,N-005,670,2
5,N-005,1014,4
5,N-005,1338,4
5,N-005,1534,4
5,N-005,1573,2
5,N-005,2105,2
6,N-006,202,4
6,N-006,1895,5
6,N-006,1932,1
7,N-007,1834,3
7,N-007,1998,1
8,N-008,2076,5
8,N-008,2321,1
9,N-009,569,3
9,N-009,966,3
9,N-009,1505,4
9,N-009,1806,3
10,N-010,497,2
10,N-010,554,1
11,N-011,219,4
11,N-011,378,4
11,N-011,570,2
12,N-012,1976,1
13,N-013,952,2
13,N-013,970,1
13,N-013,1208,3
13,N-013,2477,4
14,N-014,968,5
14,N-014,1673,4
14,N-014,1683,2
16,N-016,853,3
16,N-016,1359,4
16,N-016,1613,3
17,N-017,285,4
17,N-017,911,2
17,N-017,1273,1
17,N-017,2403,4
18,N-018,138,3
19,N-019,112,1
19,N-019,600,3
20,N-020,191,5
20,N-020,973,4
20,N-020,1266,4
20,N-020,1268,2
20,N-020,1339,4
20,N-020,1488,2
20,N-020,1717,3
21,N-021,493,2
21,N-021,1811,1
21,N-021,2496,1
22,N-022,704,4
22,N-022,1948,2
23,N-023,1950,2
23,N-023,2045,2
23,N-023,2050,3
24,N-024,872,3
24,N-024,1444,5
24,N-024,1579,5
25,N-025,210,5
25,N-025,1169,1
25,N-025,1975,3
25,N-025,2152,3
26,N-026,237,5
26,N-026,654,1
26,N-026,1422,1
26,N-026,2437,4
27,N-027,1668,2
28,N-028,1400,5
28,N-028,2250,2
29,N-029,1334,5
29,N-029,2108,5
29,N-029,2215,3
30,N-030,1500,3
30,N-030,1820,2
31,N-031,1276,4
31,N-031,1987,3
31,N-031,2246,1
32,N-032,1024,5
32,N-032,1131,3
32,N-032,1925,4
33,N-033,317,5
33,N-033,354,3
33,N-033,2490,1
34,N-034,121,2
34,N-034,421,2
34,N-034,1458,3
34,N-034,2150,3
35,N-035,708,1
35,N-035,2051,1
36,N-036,1656,3
36,N-036,1700,3
36,N-036,1980,1
36,N-036,2297,2
37,N-037,296,2
37,N-037,1815,2
38,N-038,363,2
38,N-038,638,3
39,N-039,339,5
39,N-039,628,3
40,N-040,12,1
40,N-040,299,3
40,N-040,1255,4
40,N-040,2104,4
41,N-041,385,5
41,N-041,1436,1
41,N-041,1628,4
41,N-041,2413,3
42,N-042,1572,3
42,N-042,1612,5
42,N-042,1842,3
43,N-043,1025,2
43,N-043,1885,2
43,N-043,2500,3
45,N-045,401,1
45,N-045,971,3
45,N-045,1587,5
46,N-046,282,2
47,N-047,504,3
47,N-047,891,1
47,N-047,994,3
47,N-047,1956,4
48,N-048,116,4
48,N-048,148,1
48,N-048,862,2
48,N-048,1052,5
48,N-048,2380,2
49,N-049,892,1
49,N-049,1503,1
49,N-049,1586,1
50,N-050,1312,2
50,N-050,1624,2
51,N-051,255,2
51,N-051,467,1
52,N-052,311,3
52,N-052,383,2
52,N-052,461,1
52,N-052,1737,5
52,N-052,1918,3
52,N-052,2270,4
53,N-053,320,1
54,N-054,828,2
54,N-054,2378,4
54,N-054,2489,4
55,N-055,824,1
55,N-055,1228,5
56,N-056,1283,4
57,N-057,2203,2
57,N-057,2472,4
58,N-058,669,2
58,N-058,1792,3
58,N-058,1896,1
58,N-058,2067,4
58,N-058,2123,1
58,N-058,2265,1
59,N-059,1257,4
60,N-060,222,5
60,N-060,845,5
60,N-060,1194,5
61,N-061,668,4
61,N-061,1989,2
62,N-062,1065,1
62,N-062,1406,3
63,N-063,267,5
63,N-063,1484,3
63,N-063,1714,2
64,N-064,836,4
64,N-064,2427,5
65,N-065,860,2
65,N-065,1578,2
66,N-066,1233,5
67,N-067,631,1
67,N-067,1230,1
68,N-068,697,4
68,N-068,2073,2
68,N-068,2149,1
69,N-069,562,4
69,N-069,1776,2
70,N-070,46,1
71,N-071,1105,5
71,N-071,1622,1
71,N-071,2121,1
73,N-073,1073,2
73,N-073,2025,4
75,N-075,2214,5
76,N-076,276,2
76,N-076,1198,3
77,N-077,434,4
77,N-077,1632,4
78,N-078,226,4
78,N-078,498,4
79,N-079,1055,4
79,N-079,1517,1
80,N-080,201,1
80,N-080,1356,5
80,N-080,1680,4
80,N-080,1845,4
80,N-080,2132,5
80,N-080,2324,4
