id_mision,fecha,hora,id_equipo,id_planeta,completada
1,2024-09-02,12:11,28,15,True
2,2025-05-24,15:06,68,58,True
3,2024-05-15,19:29,55,192,True
4,2025-10-10,04:24,5,31,True
5,2023-11-10,08:00,68,168,False
6,2023-04-09,02:10,46,207,True
7,2025-01-18,11:06,23,125,False
8,2024-10-16,21:32,14,138,True
9,2026-06-24,12:30,45,14,None
10,2022-12-31,19:27,34,139,False
11,2024-01-31,09:44,67,65,False
12,2024-10-08,09:45,51,223,False
13,2026-05-15,09:51,8,15,None
14,2024-05-22,15:22,68,8,False
15,2023-04-19,15:18,12,15,False
16,2025-10-12,02:55,7,123,False
17,2025-01-02,19:49,90,55,False
18,2025-04-18,15:22,55,192,True
19,2024-02-12,04:38,42,233,False
20,2025-05-04,21:05,37,128,False
21,2024-03-17,18:14,51,185,False
22,2022-12-09,17:01,89,56,True
23,2024-01-15,20:15,21,242,False
24,2025-01-20,13:54,83,152,True
25,2023-07-05,05:24,56,123,True
26,2026-10-06,07:38,84,27,None
27,2026-03-20,20:39,14,235,None
28,2023-07-14,00:54,16,243,True
29,2025-07-30,08:46,32,85,True
30,2024-02-29,12:29,7,169,True
31,2025-01-08,15:56,72,65,False
32,2022-12-11,17:37,25,178,False
33,2024-09-22,16:27,12,117,True
34,2024-05-16,13:31,24,213,True
35,2024-11-05,10:28,12,109,False
36,2026-03-25,11:03,12,24,None
37,2023-04-27,01:11,24,5,False
38,2023-11-27,07:06,93,126,True
39,2025-12-05,07:18,6,141,None
40,2024-08-10,00:48,43,156,True
41,2026-05-02,19:54,31,93,None
42,2024-04-19,10:43,65,153,True
43,2025-04-24,10:54,66,159,True
44,2025-08-03,12:38,48,243,True
45,2026-06-01,17:44,75,86,None
46,2026-05-24,07:13,81,182,None
47,2024-09-05,10:57,86,233,False
48,2025-07-05,20:26,52,111,True
49,2026-01-06,06:29,38,213,None
50,2024-03-08,05:21,71,16,False
51,2023-10-21,05:27,67,147,True
52,2026-05-16,15:46,70,136,None
53,2024-05-02,22:49,14,231,True
54,2025-03-17,23:42,62,91,False
55,2026-01-16,20:13,43,147,None
56,2024-08-25,15:37,53,18,False
57,2025-04-17,20:42,61,212,False
58,2025-04-08,12:42,38,184,True
59,2024-04-23,10:47,31,66,False
60,2025-12-19,18:09,66,244,None
61,2024-10-30,23:27,62,108,True
62,2023-05-29,19:57,73,161,False
63,2023-05-11,21:11,8,195,True
64,2023-05-08,16:14,60,205,True
65,2023-02-01,04:48,39,220,False
66,2025-05-03,08:08,12,74,False
67,2025-09-02,12:27,85,205,False
68,2026-04-10,21:04,92,233,None
69,2025-04-27,23:32,26,247,True
70,2024-07-15,22:13,78,173,True
71,2023-08-20,15:15,57,45,False
72,2024-01-18,23:02,73,218,False
73,2024-07-06,23:42,15,111,False
74,2022-10-20,03:00,41,68,False
75,2025-11-05,04:50,4,180,None
76,2024-02-05,09:38,6,163,False
77,2026-04-30,18:59,18,248,None
78,2024-11-16,13:04,65,3,False
79,2023-01-15,07:02,22,177,True
80,2023-01-21,01:33,6,66,False
81,2026-01-11,23:49,30,6,None
82,2025-12-16,05:24,65,247,None
83,2025-10-22,23:37,55,83,None
84,2024-03-24,13:04,21,25,True
85,2026-02-17,15:32,41,95,None
86,2024-07-15,08:51,34,51,True
87,2026-07-30,06:35,95,195,None
88,2024-01-22,03:41,24,98,True
89,2023-06-10,03:07,79,130,True
90,2023-11-29,21:20,48,125,False
91,2023-11-12,07:19,10,39,False
92,2025-10-01,09:15,39,113,False
93,2026-10-07,17:35,95,35,None
94,2025-06-05,08:42,3,177,False
95,2024-07-03,01:53,88,57,True
96,2023-03-31,11:37,84,106,False
97,2025-01-05,14:24,98,170,True
98,2025-11-20,14:16,41,19,None
99,2024-08-04,10:38,62,10,False
100,2024-05-16,09:43,39,226,False
101,2024-02-01,17:48,67,40,False
102,2023-03-30,11:18,39,16,False
103,2024-02-26,21:12,18,183,False
104,2026-06-28,04:46,21,243,None
105,2023-11-09,06:48,18,49,False
106,2023-03-26,01:56,75,31,True
107,2023-04-04,21:06,32,40,True
108,2026-07-27,23:38,46,51,None
109,2023-02-28,07:15,53,205,False
110,2025-01-17,15:59,23,183,True
111,2025-03-10,20:30,92,102,True
112,2024-02-18,16:46,19,193,False
113,2022-11-13,05:13,31,101,False
114,2024-11-24,02:01,12,213,False
115,2024-08-11,10:06,84,209,True
116,2026-05-03,19:24,92,190,None
117,2026-07-05,22:52,1,236,None
118,2022-12-21,16:27,15,169,False
119,2023-08-20,10:24,72,230,False
120,2023-05-08,02:19,83,164,False
121,2026-05-11,11:38,15,188,None
122,2024-08-31,11:59,37,222,True
123,2023-06-09,06:44,1,76,True
124,2026-07-16,09:00,57,122,None
125,2022-11-23,05:55,12,79,True
126,2025-05-21,00:39,46,90,False
127,2024-01-31,14:51,19,200,True
128,2022-11-23,22:11,58,184,False
129,2025-06-15,06:53,61,66,False
130,2025-03-05,18:36,66,73,False
131,2026-07-09,10:41,80,45,None
132,2025-07-04,04:41,72,194,True
133,2026-07-03,06:29,43,43,None
134,2025-08-12,02:57,20,168,False
135,2025-02-10,03:46,93,82,False
136,2025-05-13,21:04,25,235,False
137,2025-09-17,02:51,30,194,False
138,2023-06-12,12:20,68,79,False
139,2025-11-03,12:21,77,123,None
140,2026-05-29,06:31,11,228,None
141,2025-10-06,06:02,52,164,True
142,2023-08-31,00:56,99,225,False
143,2025-11-17,11:19,77,199,None
144,2023-09-09,00:51,64,189,False
145,2026-01-24,06:19,100,90,None
146,2024-06-26,16:52,72,152,True
147,2025-05-25,08:15,95,51,True
148,2026-04-26,16:31,13,110,None
