id_equipo,patente_nave,id_astronauta,rango
1,N-001,124,3
1,N-001,148,5
1,N-001,316,4
1,N-001,345,1
1,N-001,361,1
1,N-001,392,1
1,N-001,458,1
1,N-001,521,2
1,N-001,532,5
2,N-002,257,2
2,N-002,394,3
2,N-002,554,3
2,N-002,571,2
2,N-002,573,4
2,N-002,577,1
2,N-002,588,4
2,N-002,591,3
3,N-003,141,2
3,N-003,168,2
3,N-003,269,2
3,N-003,453,5
4,N-004,126,4
4,N-004,230,4
4,N-004,264,1
4,N-004,416,2
4,N-004,431,2
4,N-004,443,3
5,N-005,92,2
5,N-005,275,2
6,N-006,96,3
6,N-006,218,1
6,N-006,298,5
6,N-006,321,2
6,N-006,329,2
6,N-006,377,2
6,N-006,442,2
6,N-006,459,1
6,N-006,547,4
6,N-006,599,2
7,N-007,40,4
7,N-007,67,5
8,N-008,123,2
8,N-008,212,2
8,N-008,312,2
8,N-008,354,4
8,N-008,398,4
9,N-009,314,1
9,N-009,348,5
9,N-009,447,5
10,N-010,47,3
10,N-010,76,2
10,N-010,157,2
10,N-010,289,1
10,N-010,385,1
10,N-010,415,5
10,N-010,450,2
10,N-010,488,2
10,N-010,501,2
10,N-010,523,5
11,N-011,165,2
11,N-011,403,1
12,N-012,49,4
12,N-012,134,5
12,N-012,233,4
12,N-012,287,2
12,N-012,448,1
13,N-013,405,2
13,N-013,429,2
13,N-013,441,5
13,N-013,463,5
13,N-013,572,1
13,N-013,584,1
13,N-013,587,2
14,N-014,135,4
14,N-014,140,4
14,N-014,197,1
14,N-014,208,5
14,N-014,346,1
14,N-014,376,4
15,N-015,11,2
15,N-015,86,4
15,N-015,434,2
15,N-015,445,4
15,N-015,533,2
15,N-015,579,3
15,N-015,589,4
16,N-016,132,2
16,N-016,235,2
16,N-016,472,2
16,N-016,497,2
16,N-016,540,2
16,N-016,544,5
16,N-016,549,3
16,N-016,553,3
16,N-016,561,3
16,N-016,576,2
17,N-017,178,5
17,N-017,205,3
17,N-017,318,4
17,N-017,339,5
18,N-018,378,3
18,N-018,393,3
19,N-019,184,5
19,N-019,194,2
19,N-019,356,4
19,N-019,368,3
19,N-019,374,1
20,N-020,74,5
20,N-020,78,5
21,N-021,32,1
21,N-021,75,3
21,N-021,125,5
21,N-021,142,4
21,N-021,166,5
21,N-021,367,1
21,N-021,483,4
22,N-022,97,5
22,N-022,98,1
22,N-022,104,4
22,N-022,236,2
22,N-022,238,4
23,N-023,38,5
23,N-023,266,1
23,N-023,274,1
23,N-023,597,2
24,N-024,73,1
24,N-024,117,5
24,N-024,121,1
24,N-024,221,5
24,N-024,223,3
24,N-024,239,4
24,N-024,299,4
24,N-024,395,4
24,N-024,400,3
24,N-024,402,1
25,N-025,89,5
25,N-025,486,5
25,N-025,499,4
25,N-025,537,3
25,N-025,546,5
25,N-025,562,1
25,N-025,578,4
25,N-025,582,5
25,N-025,585,4
25,N-025,590,5
26,N-026,188,1
26,N-026,267,4
26,N-026,484,3
26,N-026,485,5
26,N-026,505,1
26,N-026,507,2
26,N-026,542,1
27,N-027,19,1
27,N-027,83,2
27,N-027,122,5
27,N-027,153,4
28,N-028,2,2
28,N-028,190,4
28,N-028,198,4
28,N-028,253,4
29,N-029,68,4
29,N-029,113,1
29,N-029,147,5
29,N-029,154,1
29,N-029,156,5
29,N-029,175,1
30,N-030,88,3
30,N-030,131,2
30,N-030,259,5
30,N-030,384,3
30,N-030,401,5
30,N-030,435,5
31,N-031,26,3
31,N-031,90,4
32,N-032,1,1
32,N-032,54,1
32,N-032,209,2
32,N-032,286,3
32,N-032,331,1
32,N-032,525,4
33,N-033,60,1
33,N-033,179,2
34,N-034,79,3
34,N-034,80,4
34,N-034,146,1
34,N-034,201,3
34,N-034,202,4
34,N-034,203,3
34,N-034,252,5
34,N-034,265,4
35,N-035,62,4
35,N-035,173,3
35,N-035,231,1
35,N-035,268,5
35,N-035,336,2
35,N-035,343,1
35,N-035,457,5
35,N-035,480,3
35,N-035,536,2
35,N-035,545,4
36,N-036,261,4
36,N-036,335,1
36,N-036,382,1
36,N-036,407,5
36,N-036,439,1
36,N-036,470,3
37,N-037,39,3
37,N-037,43,4
37,N-037,258,2
37,N-037,315,1
37,N-037,349,4
37,N-037,464,1
37,N-037,482,1
38,N-038,149,3
38,N-038,191,3
39,N-039,87,3
39,N-039,182,2
39,N-039,185,4
39,N-039,322,3
39,N-039,327,4
39,N-039,411,5
40,N-040,56,4
40,N-040,160,2
40,N-040,161,1
40,N-040,232,3
40,N-040,249,2
40,N-040,310,4
40,N-040,347,2
40,N-040,351,3
41,N-041,61,4
41,N-041,94,1
41,N-041,595,1
42,N-042,4,2
42,N-042,152,3
42,N-042,242,2
42,N-042,245,2
42,N-042,262,1
42,N-042,338,5
42,N-042,440,1
43,N-043,16,2
43,N-043,109,2
43,N-043,110,5
43,N-043,213,3
43,N-043,288,2
43,N-043,399,3
43,N-043,408,1
43,N-043,489,3
43,N-043,600,3
44,N-044,48,5
44,N-044,308,5
44,N-044,481,1
44,N-044,550,5
45,N-045,59,5
45,N-045,120,3
45,N-045,229,1
45,N-045,291,5
45,N-045,302,5
45,N-045,426,4
46,N-046,34,3
46,N-046,115,4
46,N-046,220,4
46,N-046,225,4
46,N-046,244,3
47,N-047,15,1
47,N-047,111,3
47,N-047,593,1
48,N-048,57,2
48,N-048,114,5
48,N-048,224,4
48,N-048,271,4
48,N-048,278,2
48,N-048,365,5
48,N-048,388,2
49,N-049,102,2
49,N-049,211,2
49,N-049,260,2
49,N-049,301,3
49,N-049,317,3
49,N-049,320,1
49,N-049,358,4
50,N-050,30,4
50,N-050,180,5
50,N-050,250,2
50,N-050,353,3
50,N-050,379,2
50,N-050,520,2
50,N-050,535,4
51,N-051,53,1
51,N-051,106,5
51,N-051,159,2
51,N-051,350,5
51,N-051,360,5
51,N-051,371,1
51,N-051,506,3
51,N-051,516,5
51,N-051,526,1
51,N-051,563,4
52,N-052,36,5
52,N-052,119,1
52,N-052,423,5
52,N-052,449,4
52,N-052,465,2
52,N-052,479,4
52,N-052,498,5
53,N-053,313,3
53,N-053,432,5
53,N-053,433,2
