id_mineral,nombre,simbolo_quimico,numero_atomico,masa_atomica
1,Min-MQU,G,87,201.926
2,Min-KKN,Z,43,80.582
3,Min-AHH,Hzo,60,141.762
4,Min-BWO,E,97,205.607
5,Min-LTH,Ad,86,158.472
6,Min-DYW,K,112,250.417
7,Min-KYU,Lgm,75,133.303
8,Min-OGD,U,26,48.317
9,Min-DZD,Iek,48,121.756
10,Min-QSY,Ya,29,56.226
11,Min-KZA,Xz,63,135.787
12,Min-AXL,Wyh,72,123.836
13,Min-TFY,L,91,214.341
14,Min-OBB,Zqc,58,127.971
15,Min-ZKG,Nzk,12,25.987
16,Min-SDR,T,3,6.977
17,Min-ENS,Gyo,18,35.943
18,Min-LYE,Ho,54,136.74
19,Min-NXP,Xjh,92,191.982
20,Min-HNF,Suq,118,201.637
21,Min-XIP,V,44,87.196
22,Min-PDI,Yg,33,72.312
23,Min-ZAU,Lef,1,1.866
24,Min-MQW,O,40,96.444
25,Min-LMW,S,11,24.314
26,Min-CVD,Rfb,54,135.365
27,Min-KBG,Q,21,51.3
28,Min-TXG,Utd,90,205.982
29,Min-EVL,Mwj,52,120.019
30,Min-AKK,Dj,10,17.015
31,Min-LXA,Lu,36,61.405
32,Min-XQY,Aq,55,99.2
33,Min-QSY,M,10,23.791
34,Min-DUL,Ncs,108,275.707
35,Min-CKR,Yat,54,117.161
36,Min-GNR,Ckr,3,5.82
37,Min-KZV,Ap,118,286.175
38,Min-MJW,T,7,17.231
39,Min-CZC,Hqi,96,236.151
40,Min-AMZ,Ymj,51,90.086
41,Min-DUX,H,13,30.951
42,Min-VYH,U,1,1.867
43,Min-UKC,A,46,110.289
44,Min-COG,Rp,46,105.143
45,Min-GND,N,97,235.639
46,Min-JOH,Lz,75,162.341
47,Min-XTM,Ru,98,174.609
48,Min-KDI,Qi,108,246.836
49,Min-ZVW,Zo,65,148.064
50,Min-CMI,Zn,34,58.401
51,Min-QKM,Fk,69,177.043
52,Min-HFL,L,22,41.163
53,Min-SEL,O,53,133.6
54,Min-LWC,Vap,77,177.604
55,Min-PCF,Tg,112,257.251
56,Min-XRJ,J,94,228.087
57,Min-OEY,L,69,121.919
58,Min-FZS,B,3,7.741
59,Min-XQF,Xw,95,212.674
60,Min-CAC,Jme,42,88.058
61,Min-ONI,Fe,111,283.475
62,Min-VMR,Km,12,28.118
63,Min-BAW,Ti,114,291.013
64,Min-FNY,Zn,2,3.686
65,Min-BZU,Rn,105,225.005
66,Min-GHQ,Tm,61,133.577
67,Min-JDU,Vc,86,218.909
68,Min-YZS,Q,44,106.606
69,Min-EXM,Ciu,100,181.671
70,Min-EBR,J,45,87.182
71,Min-NWV,Ubj,27,54.329
72,Min-XGJ,Pek,22,47.532
73,Min-WYL,X,72,158.145
74,Min-NBA,Bfu,7,13.631
75,Min-XII,Cp,52,106.879
76,Min-HFI,Q,27,68.15
77,Min-WXE,Ou,101,232.738
78,Min-BXB,C,69,173.35
79,Min-ZTQ,Joq,76,130.06
80,Min-PBC,Tcg,21,50.614
81,Min-MDV,Ikd,7,13.939
82,Min-YGZ,D,8,19.854
83,Min-YMZ,Nzz,97,223.2
84,Min-AYS,S,22,48.496
85,Min-AOK,Kzy,84,185.864
86,Min-WUB,Xj,101,208.623
87,Min-OXX,Q,7,17.05
88,Min-QSI,V,66,133.848
89,Min-XME,U,19,48.864
90,Min-LOT,Jl,46,84.385
91,Min-FXI,Be,31,73.734
92,Min-HIR,Nwe,87,186.353
93,Min-ZRR,Vaa,9,16.173
94,Min-IUA,Wi,56,97.231
95,Min-UUE,Stx,73,131.69
96,Min-SUM,Kca,74,146.015
97,Min-GVV,Vh,28,63.351
98,Min-RNE,Flw,1,2.228
99,Min-YHT,Xe,1,2.523
100,Min-HUY,Z,86,189.642
