id_mision,id_mineral,cantidad
82,1,2858.807
83,1,1076.508
109,1,2441.08
110,1,765.021
44,2,3531.046
95,2,4145.414
11,3,4204.577
72,3,4734.264
23,4,1443.86
106,4,3343.982
62,5,2412.187
1,6,4746.003
48,6,3990.352
51,6,3663.788
75,6,657.089
70,7,3944.681
126,7,3828.189
6,8,333.212
31,8,1915.39
49,8,1715.342
108,8,3579.47
137,8,3512.738
81,9,2748.554
121,9,558.989
13,10,954.484
20,10,1398.447
30,10,328.465
52,10,1706.874
83,10,2380.297
103,10,1405.506
138,10,1366.613
24,11,3594.114
120,11,2989.197
140,11,542.322
122,12,4504.948
70,13,1216.582
10,14,2303.627
25,14,55.922
45,14,2982.99
56,15,2652.876
90,15,4116.603
92,15,2032.954
32,16,4058.705
92,16,2268.21
101,16,4587.406
108,16,850.794
135,16,808.976
2,17,1065.589
39,17,3075.025
80,17,4690.939
55,18,2434.727
95,18,1868.712
5,19,1369.071
88,19,1719.943
25,20,3475.478
65,20,2654.498
89,20,1547.051
110,20,1941.644
42,21,737.479
43,21,952.807
63,22,4954.245
81,22,3025.884
96,23,3727.272
10,24,1764.156
35,24,3273.248
56,24,804.474
62,24,1099.063
101,24,1772.755
130,24,2645.753
137,24,4628.776
16,25,3554.306
53,25,1640.653
43,26,2783.565
89,26,2665.934
122,26,2463.348
143,26,1397.375
20,27,3936.201
54,27,4227.892
85,27,4931.03
107,27,3308.436
121,27,3598.169
80,29,1372.39
119,29,204.176
41,30,964.7
79,30,9.753
60,31,3500.727
15,32,3814.775
79,32,3590.069
94,32,1263.92
50,33,4322.179
125,33,1875.92
147,33,2055.897
45,34,2785.051
24,35,118.469
51,35,104.538
85,35,21.591
105,35,2721.698
16,36,88.221
76,36,2137.212
77,36,4686.659
108,36,2756.359
17,37,1974.148
111,37,1841.614
132,37,3480.024
18,38,2795.562
28,38,3161.079
149,38,4772.195
73,39,1034.876
90,39,914.634
91,39,2791.375
13,40,2519.163
47,40,1118.248
118,40,3609.686
124,40,193.429
130,40,20.88
22,41,4998.835
33,41,1329.707
66,41,3274.972
84,41,406.023
95,41,4203.763
127,41,3312.333
39,42,2665.847
134,42,2315.479
148,42,4165.373
28,43,732.485
143,43,1972.552
144,43,411.55
4,44,452.928
41,44,3463.378
65,44,474.211
77,44,3026.787
42,45,3370.721
49,45,2631.842
98,45,2395.514
109,45,1159.774
12,46,1442.077
66,46,2957.011
131,46,941.121
86,47,1600.24
100,47,3318.484
142,47,2524.774
144,47,930.924
105,48,3506.298
38,49,3431.659
79,49,4533.568
80,49,3507.366
141,49,1076.59
110,50,2547.231
24,51,192.457
115,51,2038.982
46,52,4275.823
64,52,3942.387
132,52,3723.45
133,52,4576.752
38,53,2042.321
100,53,1957.548
126,53,4379.215
85,54,1117.767
115,54,4554.618
16,55,3468.833
118,55,4511.006
12,57,690.048
104,57,2909.687
128,57,1891.997
150,57,148.196
59,58,4094.024
97,58,926.057
120,58,378.793
32,60,252.136
47,60,3328.283
149,60,1559.503
3,61,2284.271
38,61,4049.951
4,62,3639.355
69,62,1666.814
114,62,1064.052
119,62,3374.723
51,63,1017.787
52,63,3890.613
14,64,2894.093
29,64,2961.91
54,64,3410.785
113,64,3073.921
139,64,4437.086
150,64,2064.159
8,65,3212.351
57,65,728.898
129,65,4495.884
9,66,3389.137
47,66,866.437
62,66,4608.8
139,66,3502.414
21,67,3983.601
88,67,4213.356
142,67,4460.162
134,68,1284.495
34,69,1719.579
94,69,3383.375
15,70,1748.083
19,70,4829.754
136,70,2254.046
49,71,2366.362
67,71,2220.702
82,71,846.868
102,71,1620.54
145,71,2899.229
48,72,2754.453
58,72,2340.816
76,72,4010.722
135,72,2837.907
37,73,1210.486
44,73,901.136
63,73,777.943
111,73,185.025
124,73,1189.408
144,73,4739.623
120,75,4844.326
140,75,2679.271
19,76,2047.393
39,76,2514.128
50,76,2147.804
148,76,2893.588
113,77,4427.174
136,77,1756.991
7,78,3163.435
64,78,3201.398
98,78,63.817
14,79,707.204
34,79,1690.392
104,79,4628.062
128,79,2241.698
33,81,1280.907
81,81,1689.08
88,81,4236.192
123,81,4990.118
69,82,448.99
78,82,663.495
124,82,1424.844
30,83,4423.804
58,83,3497.336
29,84,374.573
46,84,4357.738
99,84,725.412
10,85,1087.397
26,85,1423.864
68,85,1064.335
125,85,1945.712
32,86,839.977
83,86,4312.492
136,87,692.848
145,87,2208.748
146,87,186.885
93,88,2040.368
21,89,4869.98
61,89,3780.053
113,89,4606.093
17,90,1918.774
59,90,3526.621
90,90,239.341
112,90,260.968
122,90,1511.055
6,91,1330.813
109,91,1522.472
8,92,1650.836
87,92,2785.72
150,92,370.933
14,93,4528.981
23,93,1161.443
56,93,4821.353
61,94,1979.798
74,94,222.694
99,94,4828.341
145,94,1182.139
27,95,4757.864
36,95,3075.899
50,95,686.407
61,95,3826.742
92,95,2055.395
21,96,1213.424
58,96,2448.27
96,96,71.462
105,96,1898.875
114,96,1723.872
117,96,1073.397
146,96,1870.121
140,97,1724.244
143,97,4206.372
40,98,749.418
86,98,913.053
33,99,3434.478
71,99,4838.762
116,99,4336.053
53,100,421.102
