patente,material,tamano,capacidad_astronautas,capacidad_minerales,autonomia
N-001,Acero Inoxidable,S,6,1724.76,233.63
N-002,Compósito,XL,4,808.82,219.8
N-003,Compósito,M,10,454.94,187.16
N-004,Titanio,XL,10,416.49,59.37
N-005,Titanio,M,7,711.87,120.12
N-006,Titanio,XL,2,112.68,169.34
N-007,Aluminio,M,6,289.05,109.49
N-008,Grafeno,M,8,541.98,135.66
N-009,Compósito,S,5,327.62,129.81
N-010,Grafeno,M,6,1218.36,134.38
N-011,Aluminio,S,4,672.52,217.49
N-012,Titanio,M,5,764.48,92.07
N-013,Acero Inoxidable,L,2,193.71,180.8
N-014,Titanio,XL,4,1598.77,195.38
N-015,Compósito,M,10,1546.39,125.39
N-016,Titanio,S,9,718.95,156.42
N-017,Acero Inoxidable,M,7,1560.83,177.65
N-018,Grafeno,M,3,1040.3,224.2
N-019,Compósito,M,5,410.73,79.19
N-020,Grafeno,S,10,1421.87,45.17
N-021,Acero Inoxidable,M,3,602.13,190.01
N-022,Titanio,XL,8,445.68,230.54
N-023,Aluminio,S,7,727.89,104.75
N-024,Aluminio,M,8,1075.09,110.21
N-025,Titanio,S,9,1512.77,160.75
N-026,Grafeno,M,4,1108.83,65.98
N-027,Grafeno,L,4,1122.69,176.41
N-028,Titanio,L,8,183.68,201.82
N-029,Grafeno,S,3,396.73,221.28
N-030,Titanio,L,9,1403.21,106.43
