id_planeta,nombre,coordenada_x,coordenada_y,tamano,tipo
1,P-501,-957152.06,-757877.386,XL,Plasma
2,P-757,-368948.546,-489772.02,M,Rocoso
3,P-396,344438.047,768.753,M,Criogénico
4,P-301,402414.698,-578017.922,L,Gas
5,P-148,-840793.923,402552.574,M,Rocoso
6,P-338,423417.449,-910737.264,M,Sólido
7,P-136,-712093.929,-151251.233,XL,Sólido
8,P-277,909241.917,345600.031,M,Plasma
9,P-939,-790502.2,495557.92,M,Sólido
10,P-173,613957.79,-291343.925,L,Gas
11,P-316,-410924.104,83012.839,XL,Sólido
12,P-439,-674996.983,-54959.164,M,Criogénico
13,P-832,-735993.037,-950781.398,M,Gas
14,P-239,540678.467,-691017.232,L,Rocoso
15,P-361,-420374.621,-995431.088,L,Rocoso
16,P-510,106177.422,-246565.34,S,Rocoso
17,P-652,-660300.069,606226.288,M,Sólido
18,P-778,671514.118,-781866.181,S,Plasma
19,P-255,910416.018,438174.725,XL,Rocoso
20,P-223,-191653.009,-428783.012,M,Rocoso
21,P-280,274149.628,-146297.095,L,Líquido
22,P-923,-760537.883,-371947.01,XL,Criogénico
23,P-909,480071.539,571982.209,M,Gas
24,P-499,-380522.743,-416659.4,XL,Plasma
25,P-528,-29225.826,-789718.189,XL,Líquido
26,P-701,-907926.137,-650718.95,M,Líquido
27,P-869,-845952.989,892045.632,M,Líquido
28,P-235,-649273.088,-990682.619,S,Líquido
29,P-114,822969.153,514415.009,S,Gas
30,P-224,658098.855,-402831.719,S,Plasma
31,P-722,169301.066,-323086.833,S,Sólido
32,P-113,294451.675,-800421.442,XL,Sólido
33,P-175,-232803.286,-688016.438,L,Plasma
34,P-857,318227.859,267227.975,XL,Líquido
35,P-520,710823.121,-134859.418,L,Rocoso
36,P-330,-219622.032,-972303.19,L,Sólido
37,P-814,-44026.674,645701.75,L,Sólido
38,P-723,-453417.822,52036.393,S,Sólido
39,P-512,311433.648,971605.503,XL,Rocoso
40,P-286,-520139.713,-463684.374,S,Líquido
41,P-224,-658339.45,-532929.795,S,Líquido
42,P-844,-184395.11,-974354.682,XL,Plasma
43,P-614,-337601.325,-220326.402,L,Plasma
44,P-155,-630451.789,425111.081,S,Gas
45,P-553,-976744.901,537821.949,XL,Rocoso
46,P-658,637022.267,-792106.78,XL,Plasma
47,P-925,-737088.13,-916282.861,M,Líquido
48,P-549,881602.033,133703.909,S,Gas
49,P-978,-176032.881,668947.925,XL,Criogénico
50,P-659,-22895.913,270145.674,XL,Sólido
51,P-283,565867.964,-22049.569,S,Gas
52,P-375,87664.773,610694.182,XL,Gas
53,P-664,593370.964,381512.074,L,Rocoso
54,P-286,-322553.976,-795543.142,XL,Plasma
55,P-908,916504.002,463956.963,M,Plasma
56,P-328,372257.542,-515244.874,L,Plasma
57,P-427,-128519.359,-186271.847,S,Sólido
58,P-828,-294615.213,365249.171,XL,Sólido
59,P-920,332570.661,332166.628,M,Gas
60,P-699,704498.226,-999608.216,S,Gas
