id_planeta,id_mineral,cantidad_disponible,pureza
1,54,630994.228,0.41
2,28,66192.149,0.412
2,9,579512.539,0.973
3,25,216895.039,0.773
3,75,441715.399,0.341
4,64,319638.413,0.301
4,5,269373.362,0.787
4,93,908784.715,0.231
5,20,332769.73,0.83
6,26,374803.578,0.21
6,54,281860.099,0.144
6,6,916304.151,0.454
6,37,504887.739,0.238
6,97,522699.648,0.288
6,18,939066.743,0.863
7,1,871762.395,0.216
7,73,87768.8,0.764
7,6,121557.175,0.609
7,94,925777.555,0.718
7,8,121178.829,0.8
7,11,756957.392,0.82
8,91,139293.269,0.054
8,24,368187.843,0.839
8,19,220132.832,0.457
8,36,393574.238,0.534
8,42,214269.547,0.095
9,77,125318.748,0.415
9,81,915414.075,0.194
9,75,408804.404,0.349
10,9,248579.854,0.097
10,34,82954.004,0.356
10,65,59085.934,0.23
11,71,480348.158,0.122
11,75,794884.086,0.111
11,51,247095.988,0.241
11,91,767061.493,0.187
12,72,40647.415,0.6
12,75,115438.135,0.977
12,53,94585.656,0.5
13,77,980850.239,0.77
13,27,197657.511,0.086
13,35,532591.394,0.132
13,10,307534.565,0.914
13,34,742736.779,0.351
14,61,960925.871,0.55
14,66,984991.974,0.466
14,11,333380.442,0.266
14,2,247508.709,0.775
14,36,590876.154,0.859
14,60,479637.899,0.868
15,10,450213.014,0.072
15,66,424428.112,0.735
15,86,650755.301,0.611
16,95,908872.252,0.72
16,87,828732.465,0.321
16,68,457661.076,0.563
17,84,517474.936,0.086
17,60,148428.337,0.775
17,62,865319.82,0.245
17,73,112233.698,0.27
18,57,496912.602,0.576
18,90,437327.574,0.716
18,13,747584.872,0.888
18,64,767433.916,0.884
19,8,225766.246,0.857
19,63,788812.407,0.59
20,98,971604.171,0.868
20,62,335430.086,0.469
21,93,744022.16,0.441
22,41,299430.656,0.17
22,39,321386.431,0.609
22,71,285942.006,0.195
22,80,565917.968,0.861
22,6,433313.101,0.511
23,18,448333.901,0.301
23,41,968898.757,0.589
23,67,779200.382,0.719
24,4,39548.234,0.071
24,67,582066.714,0.719
24,41,180188.711,0.587
24,29,85099.183,0.488
25,25,494449.469,0.655
26,35,77743.851,0.308
26,6,776587.504,0.866
26,64,290947.248,0.436
27,90,329662.202,0.839
27,25,574135.457,0.843
27,64,570737.531,0.687
28,28,577879.192,0.683
28,34,979075.524,0.056
28,63,237085.917,0.334
28,25,914011.004,0.874
28,45,910113.093,0.572
29,67,735779.211,0.886
29,63,716655.589,0.94
29,35,603120.22,0.839
30,71,918880.153,0.875
30,59,944192.013,0.273
30,41,541714.817,0.5
30,58,856360.176,0.425
30,33,742234.818,0.905
31,70,439754.18,0.21
31,84,695237.732,0.336
32,87,849619.526,0.766
33,58,886731.621,0.706
34,90,340033.122,0.704
34,52,632780.29,0.417
34,6,780316.815,0.178
35,27,638617.192,0.449
36,20,444089.935,0.966
36,25,15626.629,0.113
36,27,73101.388,0.913
37,37,103675.829,0.104
38,13,879432.583,0.624
38,49,960818.584,0.604
38,89,468406.977,0.427
38,65,583826.402,0.671
39,20,308064.669,0.579
39,85,62795.896,0.191
39,42,38660.912,0.845
39,61,136155.071,0.4
39,88,329377.944,0.705
39,81,73222.524,0.058
40,39,103260.179,0.738
40,73,736269.126,0.143
41,94,300512.014,0.663
41,7,983307.302,0.848
41,92,26811.883,0.102
41,3,443737.768,0.671
41,97,837116.786,0.322
41,14,253368.456,0.887
42,30,293861.516,0.569
42,98,452287.954,0.791
43,8,854865.323,0.236
43,43,68040.864,0.777
44,97,515645.729,0.361
45,7,314220.784,0.175
45,50,854852.769,0.698
45,91,321001.11,0.809
45,64,678275.401,0.475
46,98,172812.117,0.208
46,70,649290.339,0.142
46,14,583563.734,0.955
46,86,711247.697,0.908
46,57,549225.339,0.224
47,36,489797.159,0.236
47,47,554735.714,0.427
47,9,881231.048,0.118
47,37,465036.773,0.321
48,24,844673.535,0.66
49,80,447479.088,0.106
49,69,329763.168,0.082
49,59,99206.861,0.848
50,38,222807.764,0.244
51,28,244015.748,0.848
52,67,577358.851,0.916
52,57,68935.978,0.538
52,100,686467.402,0.845
52,80,475794.194,0.641
52,13,288824.977,0.736
53,20,619415.417,0.831
53,82,860994.332,0.482
53,68,802176.439,0.22
53,96,874255.442,0.326
53,25,112959.452,0.383
54,5,975350.806,0.978
55,83,292081.023,0.925
55,96,788040.888,0.831
55,38,743078.562,0.952
55,4,754713.832,0.751
56,91,343183.936,0.083
56,74,343817.289,0.247
56,92,399652.836,0.944
57,62,841108.722,0.394
57,5,951101.939,0.079
57,16,761812.017,0.689
57,72,715357.794,0.084
58,63,943726.996,0.245
58,65,936653.406,0.747
58,39,958843.34,0.885
58,53,566941.988,0.22
58,12,182060.297,0.126
59,60,118527.903,0.314
60,6,248387.476,0.752
60,8,163473.553,0.646
60,61,674389.198,0.651
60,25,174306.302,0.488
60,100,252642.62,0.354
60,9,332204.033,0.905
